电影名称,导演,主演,类型,制片国家/地区,时长,评分,评价人数
飞越疯人院,米洛斯·福尔曼,杰克·尼科尔森&&丹尼·德维托&&克里斯托弗·洛伊德&&路易丝·弗莱彻&&威尔·萨姆森&&特德·马克兰德&&布拉德·道里夫&&斯加特曼·克罗索斯&&迈克尔·贝里曼&&彼得·布罗科&&穆瓦科·卡姆布卡&&威廉·达尔&&乔西普·艾利克&&西德尼·拉斯克&&凯·李&&德怀特·马费尔德&&路易莎·莫里茨&&威廉·雷德菲尔德&&菲利普·罗斯&&米米·萨奇席恩&&文森特·斯卡维利&&米斯·斯马尔&&德罗斯·V·史密斯,剧情,美国,133,9.1,426999
X战警3：背水一战,布莱特·拉特纳,休·杰克曼&&哈莉·贝瑞&&伊恩·麦克莱恩&&帕特里克·斯图尔特&&法米克·詹森&&安娜·帕奎因&&凯尔希·格兰莫&&詹姆斯·麦斯登&&丽贝卡·罗梅恩&&肖恩·阿什莫&&艾伦·佩吉&&本·福斯特&&亚伦·斯坦福,动作&&科幻&&惊悚,美国,104,7.6,193573
查理和巧克力工厂,蒂姆·波顿,约翰尼·德普&&弗莱迪·海默&&海伦娜·伯翰·卡特&&克里斯托弗·李&&诺亚·泰勒&&大卫·凯利&&米西·派勒&&詹姆斯·福克斯&&安娜索菲亚·罗伯&&迪普·罗伊&&亚当·戈德利&&弗兰西斯卡·托格内尔&&茱莉亚·温特&&乔丹·弗雷&&菲利普·韦格拉茨,喜剧&&奇幻&&冒险,美国,115,8.2,352329
变形金刚,迈克尔·贝,希亚·拉博夫&&泰瑞斯·吉布森&&乔什·杜哈明&&安东尼·安德森&&梅根·福克斯&&瑞切尔·泰勒&&约翰·特托罗&&强·沃特&&迈克尔·奥尼尔&&凯文·杜恩&&朱丽叶·怀特,动作&&科幻,美国,144,8.2,366886
X战警2,布莱恩·辛格,帕特里克·斯图尔特&&休·杰克曼&&伊恩·麦克莱恩&&哈莉·贝瑞&&法米克·詹森&&詹姆斯·麦斯登&&安娜·帕奎因&&丽贝卡·罗梅恩&&布莱恩·考克斯&&胡凯莉&&亚伦·斯坦福,动作&&科幻&&惊悚,美国,133,7.7,196901
被解救的姜戈,昆汀·塔伦蒂诺,杰米·福克斯&&莱昂纳多·迪卡普里奥&&克里斯托弗·瓦尔兹&&塞缪尔·杰克逊&&凯丽·华盛顿&&沃尔顿·戈金斯&&丹尼斯·克里斯托弗&&乔纳·希尔&&詹姆斯·瑞马尔&&爱波·塔布琳&&弗兰科·内罗&&罗伯特·卡拉丁&&佐伊·贝尔,剧情&&动作&&西部&&冒险,美国,163,8.7,431708
霍比特人1：意外之旅,彼得·杰克逊,伊恩·麦克莱恩&&马丁·弗瑞曼&&理查德·阿米蒂奇&&肯·斯托特&&格拉汉姆·麦克泰维什&&詹姆斯·内斯比特&&迪恩·奥戈曼&&艾丹·特纳&&雨果·维文&&凯特·布兰切特&&安迪·瑟金斯&&西尔维斯特·迈可伊&&克里斯托弗·李&&伊利亚·伍德&&伊安·霍姆&&李·佩斯,动作&&奇幻&&冒险,美国,169,8.3,318392
夏目友人帐,大森贵弘,神谷浩史&&井上和彦&&高良健吾&&小林沙苗&&藤村步&&村濑步&&伊藤美纪&&伊藤荣次&&堀江一真&&佐藤利奈&&木村良平&&菅沼久义&&泽城美雪&&石田彰&&雪野五月&&川澄绫子&&樋口晓里&&冈村明美&&黑田崇矢&&长岛雄一&&松山鹰志&&下崎纮史&&知桐京子&&高冈瓶瓶&&落合福嗣&&金田晶&&高桥伸也&&松川裕辉&&塙爱美&&户松拳也&&香里有佐&&小田切茜&&三谷绫子&&小峠英二&&西村瑞树&&堀秀行&&岛本须美,剧情&&动画&&奇幻,日本,104,8.1,132128
亲爱的,陈可辛,赵薇&&黄渤&&佟大为&&郝蕾&&张译&&张雨绮&&张国强&&朱子墨&&李一情&&陈莹&&余皑磊&&黄建新,剧情&&家庭,中国大陆,130,8.4,398387
无敌破坏王2：大闹互联网,菲尔·约翰斯顿,约翰·C·赖利&&萨拉·西尔弗曼&&盖尔·加朵&&塔拉吉·P·汉森&&杰克·麦克布瑞尔&&简·林奇&&艾伦·图代克&&阿尔弗雷德·莫里纳&&艾德·奥尼尔&&肖恩·吉布朗尼&&弗卢拉·博格&&蒂莫西·西蒙斯&&黄阿丽&&韩秘书·布雷克&&葛洛泽尔·格林&&瑞贝卡·薇索基&&山姆·理查森&&雅布其·杨-怀特&&莫里斯·拉马奇&&梅丽莎·维拉斯诺&&凯蒂·洛斯&&贾米·埃曼&&霍拉提奥·桑斯&&亚历克斯·莫法特&&琼·斯奎布&&德拉·萨巴&&菲尔·约翰斯顿&&约翰·迪·马吉欧&&瑞奇·摩尔&&科琳·巴林杰&&达尼·费尔南德斯&&蒂芙妮·赫雷拉&&阿娜·奥缇兹&&迪安娜·阿格隆&&杰森·曼楚克斯&&雷蒙德·S·佩尔西&&伏霞&&罗杰·克莱格·史密斯&&蒂姆·艾伦&&布拉德·加内特&&安东尼·丹尼尔斯&&科里·伯顿&&范·迪塞尔&&维韦卡·波林&&迈克·吉亚奇诺&&凯文·迪特斯&&尼可·斯彻金格&&丹·雷诺斯&&艾琳·贝达&&克里斯汀·贝尔&&裘蒂·班森&&奥丽伊·卡瓦洛&&詹妮弗·黑尔&&凯特·希金斯&&琳达·拉金&&凯莉·麦克唐纳&&伊迪娜·门泽尔&&曼迪·摩尔&&佩吉·奥哈拉&&帕米拉·里本&&阿尼卡·诺尼·罗斯&&温明娜&&珍妮卡·贝尔格雷&&比尔·哈德尔,喜剧&&动画&&奇幻&&冒险,美国,112,8.1,298883
甜蜜蜜,陈可辛,黎明&&张曼玉&&杨恭如&&曾志伟&&杜可风&&张同祖&&诸慧荷&&丁羽,剧情&&爱情,中国香港,118,8.8,364464
李茶的姑妈,吴昱翰,黄才伦&&艾伦&&宋阳&&卢靖姗&&沈腾&&韩彦博&&陈冰&&张镨冉&&王宇&&赵雪&&常远&&王成思&&张琛&&魏玮&&陶亮&&朱微玮&&芦莹&&李海银&&何子君&&高海宝&&刘坤&&钱晨光&&乌日塔&&杨洁&&向斐&&何孟卓&&王野苓&&喜子&&张琳,喜剧,中国大陆,113,4.6,254386
蜘蛛侠,山姆·雷米,托比·马奎尔&&威廉·达福&&克斯汀·邓斯特&&詹姆斯·弗兰科&&克里夫·罗伯逊&&罗斯玛丽·哈里斯&&J·K·西蒙斯&&乔·曼根尼罗&&格里·贝克尔&&比尔·努恩&&杰克·贝茨&&斯坦利·安德森&&罗恩·帕金斯&&迈克尔·帕帕约翰&&布鲁斯·坎贝尔 ,动作&&科幻&&冒险,美国,121,7.8,276816
血观音,杨雅喆,惠英红&&吴可熙&&文淇&&柯佳嬿&&陈莎莉&&丁强&&刘尚谦&&林志儒&&王月&&温贞菱&&王伟六&&陈珮骐&&尹昭德&&大久保麻梨子&&巫书维&&颜毓麟&&刘越逖&&傅子纯&&陈武康&&施名帅&&秀兰玛雅&&应蔚民&&李铨,剧情&&悬疑,中国台湾,112,8.4,251481
爱在午夜降临前,理查德·林克莱特,伊桑·霍克&&朱莉·德尔佩&&肖姆斯·戴维-菲茨帕特里克&&詹妮弗·普里尔&&夏洛特·普里尔&&Xenia Kalogeropoulou&&沃尔特·拉萨利&&亚里安妮·拉贝德&&雅尼斯·帕帕多普洛斯&&阿赛娜·拉海尔·灿加里&&帕诺斯·科罗尼斯&&Yota Argyropoulou&&约翰·斯洛斯,剧情&&爱情,美国,109,8.8,223485
记忆碎片,克里斯托弗·诺兰,盖·皮尔斯&&凯瑞-安·莫斯&&乔·潘托里亚诺&&小马克·布恩&&拉什·费加&&乔雅·福克斯&&斯蒂芬·托布罗斯基&&哈里特·桑塞姆·哈里斯&&托马斯·列农&&考乐姆·吉斯·雷尼&&金伯利·坎贝尔&&玛丽安妮·穆勒雷尔&&拉里·霍尔登,剧情&&悬疑&&惊悚&&犯罪,美国,113,8.6,435071
闪光少女,王冉,徐璐&&彭昱畅&&刘泳希&&鲁照华&&韩忠羽&&李诺&&骆明劼&&陈雨锶&&乐思宏&&崔可法&&陆建艺&&陈奕迅&&汤甄&&闫妮&&耿乐,喜剧&&音乐,中国大陆,103,7.3,217411
岁月神偷,罗启锐,吴君如&&任达华&&钟绍图&&李治廷&&蔡颖恩&&秦沛&&夏萍&&谷德昭&&许鞍华&&张同祖&&庄域飞&&威廉希路&&李健兴&&林耀祺&&廖爱玲&&张翼东&&钱耀荣&&谭瓒强&&陈庆航&&黎祥荣,剧情&&家庭,中国香港,117,8.7,452517
十二怒汉,西德尼·吕美特,亨利·方达&&马丁·鲍尔萨姆&&约翰·菲德勒&&李·科布&&E.G.马绍尔&&杰克·克卢格曼 &&爱德华·宾斯&&杰克·瓦尔登&&约瑟夫·史威尼&&埃德·贝格利&&乔治·沃斯科维奇&&罗伯特·韦伯,剧情,美国,96,9.4,320405
荒野猎人,亚利桑德罗·冈萨雷斯·伊纳里图,莱昂纳多·迪卡普里奥&&汤姆·哈迪&&多姆纳尔·格里森&&威尔·保尔特&&福勒斯特·古德勒克&&保罗·安德森&&克里斯托弗·约纳尔&&约书亚·博格&&杜安·霍华德&&梅劳·纳克霍克&&亚瑟·雷德克劳德&&克里斯托弗·罗莎蒙德&&罗伯特·莫隆尼&&卢卡斯·哈斯&&布莱登·佛雷切&&伊曼纽尔·比洛多&&汤姆·盖里&&斯科特·奥林克&&格蕾丝·德芙&&阿德里安·格林·麦莫伦&&哈维尔·博泰特&&布拉德·卡特&&雷·蔡斯&&查尔斯·法西&&杰伊·塔瓦尔&&迈克尔·维拉尔,剧情&&动作&&冒险,美国,156,7.9,324403
房间,伦尼·阿伯拉罕森,布丽·拉尔森&&雅各布·特伦布莱&&肖恩·布里吉格斯&&温迪·古逊&&阿曼达·布鲁盖尔&&乔·平格&&琼·艾伦&&卡斯·安瓦尔&&威廉姆·H·梅西&&兰道尔·爱德华&&罗德里戈-费尔南德斯-斯托尔&&罗里·奥谢&&汤姆·麦卡穆斯&&杰克·富尔顿&&梅根·帕克,剧情&&家庭,爱尔兰,118,8.8,282075
海街日记,是枝裕和,绫濑遥&&长泽雅美&&夏帆&&广濑铃&&大竹忍&&堤真一&&加濑亮&&风吹淳&&中川雅也&&前田旺志郎 &&铃木亮平&&坂口健太郎&&树木希林,剧情&&家庭,日本,127,8.8,274763
卧虎藏龙,李安,周润发&&杨紫琼&&章子怡&&张震&&郎雄&&郑佩佩&&李法曾&&高西安&&海燕&&王德明&&李黎&&黄素影&&张金庭&&杨蕊&&李凯&&冯建华&&杜振西&&徐成林&&林峰&&王文升&&宋东&&马中轩&&李保成&&杨永德&&张少军&&马宁&&褚建民&&董长生&&徐怡&&陈兵&&张少成,剧情&&爱情&&武侠,中国台湾,120,8.2,312231
沉睡魔咒2,乔阿吉姆·罗恩尼,安吉丽娜·朱莉&&艾丽·范宁&&米歇尔·菲佛&&萨姆·赖利&&哈里斯·迪金森&&艾德·斯克林&&切瓦特·埃加福&&朱诺·坦普尔&&艾美达·斯丹顿&&加绘·亚历山大&&莱丝利·曼维尔&&弗莱迪·怀斯&&詹·穆瑞&&石原贵雅&&大卫·吉亚西&&罗伯特·林赛&&朱迪斯·沙克妮&&伯纳多·桑托斯&&萨克·霍兰&&巴里·艾尔德&&耶斯·利奥丹&&拉塞尔·巴洛格&&拉亚·坎普贝尔&&斯嘉丽·格兰特&&汤姆·伯宁顿&&阿克塞尔·努&&特蕾莎·马奥尼&&约翰·卡鲁,奇幻&&冒险,美国,119,6.1,127886
极速车王,詹姆斯·曼高德,马特·达蒙&&克里斯蒂安·贝尔&&乔·博恩瑟&&诺亚·尤佩&&玛丽萨·佩特罗&&凯特瑞娜·巴尔夫&&乔什·卢卡斯&&雷·迈克金农&&约翰·约瑟夫·菲尔德&&崔西·莱茨&&华莱士·朗翰&&乔纳森·拉帕格里拉&&斯特凡&&鲁道夫·马丁&&拉奇兰·布坎南&&瓦德·霍尔顿&&肖恩·卡里甘&&克里斯托弗·达尔加&&亚当·梅菲尔德&&乔瓦尼·索罗菲瓦&&乔·威廉森&&本杰明·里格比&&杰克·麦克马伦&&保罗·福克斯&&雷莫·吉罗内&&德鲁·劳施&&朱利安·米勒&&艾拉姆·奥里安&&埃姆利·贝赫什蒂&&蒂芙妮·伊冯娜·考克斯&&达林·库珀&&科拉多·因韦尔尼齐&&特洛伊·迪林格&&彼得·阿佩塞拉&&斯凯勒·马歇尔,剧情&&传记&&运动,美国,152,8.6,113264
爱尔兰人,马丁·斯科塞斯,罗伯特·德尼罗&&阿尔·帕西诺&&乔·佩西&&安娜·帕奎因&&杰西·普莱蒙&&哈威·凯特尔&&斯蒂芬·格拉汉姆&&鲍比·坎纳瓦尔&&杰克·休斯顿&&阿莱卡萨·帕拉迪诺&&凯瑟琳·纳杜奇&&多米尼克·隆巴多兹&&雷·罗马诺&&塞巴斯蒂安·马尼斯科&&杰克·霍夫曼&&保罗·本-维克托&&斯蒂芬妮·库尔特祖巴&&莎伦·菲弗&&路易斯·坎瑟米&&茵迪亚·恩能加&&J.C.麦肯泽&&巴里·普赖默斯&&吉姆·诺顿&&盖里·巴萨拉巴&&玛格丽特·安妮·佛罗伦斯&&约翰·斯库蒂&&约翰·塞纳迭姆博&&大卫·阿隆·贝克&&桃乐丝·麦卡锡&&凯文·凯恩&&加里·帕斯托雷&&约瑟夫·罗素&&凯文·奥罗克&&娜塔莎·罗曼诺娃&&杰里米·卢克&&凯莉·P·威廉姆斯&&詹妮弗·马奇&&保罗·鲍格才&&蒂姆·内夫&&斯蒂芬·梅尔勒&&克雷格·文森特&&比利·史密斯&&布莱斯·科里根&&斯泰西·爱丽丝·科恩&&吉诺·卡法雷利&&拉里·罗曼诺&&罗伯特·富纳罗&&维罗妮卡·阿利奇诺&&克劳黛特·拉利&&詹姆斯·洛林兹&&阿什莉·诺斯&&肯·斯拉迪克&&帕特里克·加洛,剧情&&传记&&犯罪,美国,209,8.9,182243
阿飞正传,王家卫,张国荣&&张曼玉&&刘嘉玲&&刘德华&&张学友&&潘迪华&&梁朝伟,剧情&&爱情&&犯罪,中国香港,94,8.5,354371
匆匆那年,张一白,彭于晏&&倪妮&&郑恺&&魏晨&&张子萱&&陈赫&&毕夏&&刘雅瑟&&曹卫宇&&张宁江,爱情,中国大陆,119,5.5,215777
大佛普拉斯,黄信尧,庄益增&&陈竹昇&&戴立忍&&张少怀&&陈以文&&纳豆&&丁国琳&&李永丰&&朱约信&&雷婕熙&&林美秀&&小亮哥&&游安顺&&梁赫群&&脱线&&郑宇彤&&鲁文学,剧情&&喜剧&&犯罪,中国台湾,102,8.7,266765
1/2的魔法,丹·斯坎隆,汤姆·赫兰德&&克里斯·帕拉特&&茱莉亚·路易斯-德瑞弗斯&&奥克塔维亚·斯宾瑟&&梅尔·罗德里格斯&&凯尔·柏海莫&&丽娜·维特&&黄阿丽&&格蕾·德丽斯勒&&崔茜·尤玛&&维尔摩·瓦尔德拉玛&&乔治·普萨拉&&约翰·拉岑贝格,喜剧&&动画&&奇幻&&冒险,美国,102,7.9,22198
窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克,乌尔里希·穆埃&&马蒂娜·格德克&&塞巴斯蒂安·科赫&&乌尔里希·图库尔&&托马斯·蒂梅&&汉斯-尤韦·鲍尔&&沃克马·克莱纳特&&马提亚斯·布伦纳&&查理·哈纳&&赫伯特·克瑙普&&巴斯蒂安·特罗斯特&&玛丽·格鲁伯&&维尔纳·德恩&&马丁·布拉姆马赫&&托马斯·阿诺德&&辛纳克·勋纳曼&&路德韦格·布洛克伯格&&迈克尔·格伯&&吉塔·施维赫夫&&希尔德加德·斯罗德&&伊嘉·比肯费尔德&&凯·伊沃·保利兹&&克劳斯·芒斯特,剧情&&悬疑,德国,137,9.1,405694
国产凌凌漆,李力持,周星驰&&袁咏仪&&罗家英&&陈宝莲&&郑祖&&黄锦江&&李力持&&于荣光&&李健仁&&古明华&&黄一飞&&梁思浩&&梁小熊&&曾守明&&邓兆尊&&梁克逊&&黄老邪&&叶进,喜剧&&动作,中国香港,83,8.3,286849
流浪猫鲍勃,罗杰·斯波蒂斯伍德,卢克·崔德威&&猫鲍勃&&露塔·格德米纳斯&&琼安·弗洛加特&&安东尼·海德&&戴伦·伊万斯&&里维拉·吉迪恩&&洛琳·艾什本&&阿卡巴尔·库尔塔&&约翰·亨肖&&贝丝·戈达德&&伊万娜·贝斯克&&妮娜·瓦迪娅&&罗茜·伊德&&鲁斯·西恩&&卡罗琳·古多尔&&雅各布·詹姆斯·贝西克&&罗伯·贾维斯&&丹尼尔·弗恩&&詹姆斯·鲍恩&&李·尼古拉斯·哈里斯&&丹尼尔·斯蒂森,剧情&&喜剧&&传记,英国,103,8.0,133980
告白,中岛哲也,松隆子&&冈田将生&&木村佳乃&&西井幸人&&桥本爱&&芦田爱菜&&三吉彩花&&藤原薰&&井之胁海&&清水尚弥&&高桥努&&一井直树&&能年玲奈&&新井浩文&&野本萤,剧情&&惊悚,日本,106,8.7,530818
蝙蝠侠：侠影之谜,克里斯托弗·诺兰,克里斯蒂安·贝尔&&迈克尔·凯恩&&连姆·尼森&&凯蒂·霍尔姆斯&&加里·奥德曼&&基里安·墨菲&&汤姆·威尔金森&&鲁特格尔·哈尔&&渡边谦&&小马克·布恩&&莱纳斯·罗彻&&摩根·弗里曼&&拉里·霍尔登&&杰拉德·墨菲&&柯林·麦克法兰&&莎拉·斯图尔特&&加斯·刘易斯&&理查德·布雷克&&拉德·舍博德兹加&&艾玛·洛克哈特&&克里斯蒂尼·亚当斯&&凯瑟琳·波特&&约翰·诺兰&&杰克·格里森,剧情&&动作&&科幻&&惊悚&&犯罪,美国,140,8.4,263113
纵横四海,吴宇森,周润发&&张国荣&&钟楚红&&朱江&&曾江&&胡枫&&唐宁&&邓一君,剧情&&喜剧&&动作&&犯罪,中国香港,108,8.8,284748
神奇动物：格林德沃之罪,大卫·叶茨,埃迪·雷德梅恩&&凯瑟琳·沃特斯顿&&约翰尼·德普&&裘德·洛&&埃兹拉·米勒&&丹·福勒&&艾莉森·萨多尔&&佐伊·克罗维兹&&卡勒姆·特纳&&金秀贤&&威廉·纳迪兰&&凯文·格思里&&卡门·艾乔戈&&沃尔夫·罗特&&德里克·里德尔&&科内尔·约翰&&英格瓦·埃盖特·西古德松&&波佩·科比-特曲&&西蒙·米考克&&大卫·樱井&&维多利亚·耶茨&&奥拉维尔·达里·奥拉夫松&&大卫·威尔莫特&&艾德·高根&&奥莉维亚·波皮卡&&阿尔菲·西蒙斯&&菲奥娜·格拉斯科特&&杰米·坎贝尔·鲍尔&&托比·瑞格波&&约书亚·谢伊&&布隆蒂斯·佐杜洛夫斯基&&杰西卡·威廉姆斯&&欧文·弗热瑞&&休·夸希&&塔希尔·布尔汉&&迈克尔·科布&&萨比恩·克洛森&&亚历珊德拉·福特&&肖恩·吉斯灵厄姆&&通恰伊·古奈什&&迈克尔·海登&&露丝·霍洛克斯&&泰·赫尔利&&纳西尔·贾玛&&卡米尔·雷米泽斯基&&迪诺·布加迪,奇幻&&冒险,美国,134,7.1,382147
绣春刀II：修罗战场,路阳,张震&&杨幂&&张译&&雷佳音&&辛芷蕾&&金士杰&&刘端端&&武强&&杨轶&&李媛&&吴晓亮&&李洪涛&&刘峰超&&袁文康&&马赫&&刘亭作&&姜晓冲&&陈齐威&&王仁君&&周一围,剧情&&动作&&武侠&&古装,中国大陆,120,7.2,319819
终结者2：审判日,詹姆斯·卡梅隆,阿诺·施瓦辛格&&琳达·汉密尔顿&&爱德华·福隆&&罗伯特·帕特里克&&阿尔·伯恩&&乔·莫顿&&埃帕莎·默克森&&卡斯图罗·格雷拉&&丹尼·库克塞&&詹妮特·戈德斯坦恩&&山德·贝克利&&莱思莉·汉密尔顿·格伦&&彼得·舒鲁姆&&唐·雷克&&吉姆·帕尔默&&格温达·迪肯&&科林·帕特里克·林奇&&妮基·考克斯&&德沃恩·尼克森&&阿卜杜勒·萨拉姆·埃尔·拉扎克&&迈克·马斯喀特&&迪恩·诺里斯&&查尔斯·A·坦伯罗&&丹尼·皮尔斯&&马克·克里斯托弗·劳伦斯&&林凡 &&乔尔·克莱默&&斯科特·肖&&史文-欧尔·托尔森&&小威廉·威谢尔&&Ken Gibbel&&Robert Winley&&Michael Edwards&&Don Stanton&&Dan Stanton&&Lisa Brinegar&&Dalton Abbott&&Bret A. Arnold&&Martin Deluca,动作&&科幻,美国,137,8.7,248990
碟中谍6：全面瓦解,克里斯托弗·麦奎里,汤姆·克鲁斯&&亨利·卡维尔&&文·瑞姆斯&&西蒙·佩吉&&丽贝卡·弗格森&&西恩·哈里斯&&安吉拉·贝塞特&&凡妮莎·柯比&&米歇尔·莫纳汉&&韦斯·本特利&&费雷德里克·施密特&&亚历克·鲍德温&&杨亮&&克里斯托弗·约纳尔&&沃尔夫·布利策&&拉斐尔·琼勒&&安德鲁·卡扎纳夫·平&&克里斯多夫·德·舒瓦西&&拉裴尔·德普雷&&让·巴普蒂斯特·菲永&&马克斯·盖勒&&奥利维尔·体班德&&亚历山大·普尔&&阿利克斯·贝纳泽什&&乔伊·安沙&&维利贝·托皮奇&&格雷厄姆·福克斯&&卡斯珀·菲利普森&&菲恩·乔利&&鲁斯·贝恩&&奈杰尔·艾伦,动作&&惊悚&&冒险,美国,147,8.1,434612
速度与激情6,林诣彬,范·迪塞尔&&保罗·沃克&&道恩·强森&&乔丹娜·布鲁斯特&&米歇尔·罗德里格兹&&泰瑞斯·吉布森&&姜成镐&&盖尔·加朵&&卢达克里斯&&卢克·伊万斯&&埃尔莎·帕塔奇&&吉娜·卡拉诺&&克拉拉·佩吉特&&金·柯尔德&&乔·塔斯利姆,动作&&惊悚&&犯罪,美国,130,7.8,219441
荒蛮故事,达米安·斯兹弗隆,达里奥·格兰迪内蒂&&玛丽娅·玛努尔&&莫妮卡·比利亚&&丽塔·科尔泰塞&&胡丽叶塔·泽尔贝伯格&&凯撒·博尔东&&莱昂纳多·斯巴拉格利亚&&沃尔特·多纳多&&里卡多·达林&&南希·杜普拉&&奥斯卡·马丁内兹&&玛莉亚·奥内托&&奥斯马·努涅斯&&赫尔曼·德·席尔瓦&&艾丽卡·里瓦斯&&地亚哥·詹蒂莱&&玛格丽塔·莫菲诺,剧情&&喜剧&&犯罪,阿根廷,122,8.8,292439
金刚狼2,詹姆斯·曼高德,休·杰克曼&&冈本多绪&&福岛莉拉&&真田广之&&斯维特拉纳·库德钦科娃&&布莱恩·泰&&山内春彦&&法米克·詹森&&李威尹,动作&&科幻,美国,126,6.6,166545
老师·好,张栾,于谦&&汤梦佳&&王广源&&秦鸣悦&&徐子力&&孙艺杨&&徐紫茵&&郝鹏飞&&郜玄铭&&黑妹&&田雨&&吴京&&张国立&&何冰&&艾伦&&胡军&&马未都&&史可&&杨立新&&乔杉&&许娣&&韩童生&&蒋小涵&&刘威&&马苏&&吴樾&&孙越&&丁海峰&&王志飞&&常戎&&关凌,剧情,中国大陆,111,6.7,216739
一代宗师,王家卫,梁朝伟&&章子怡&&张震&&宋慧乔&&赵本山&&小沈阳&&王庆祥&&张晋&&卢海鹏&&冯克安&&刘家勇&&张智霖&&金士杰&&徐锦江&&刘洵&&尚铁龙&&罗莽&&吴廷烨,剧情&&动作&&爱情&&传记,中国大陆,111,8.0,446610
秒速5厘米,新海诚,水桥研二&&近藤好美 &&花村怜美&&尾上绫华&&水野理纱&&寺崎裕香&&中村祐子&&岩崎征实&&内藤玲&&下崎纮史&&平野贵裕&&中川玲&&井关佳子&&井上优&&加古临王&&中村梨香&&须加美纪&&鲑延未可&&新鹿由美子&&斋藤由香子,剧情&&爱情&&动画,日本,63,8.3,463828
唐山大地震,冯小刚,徐帆&&张静初&&李晨&&陈道明&&张子枫&&张家骏&&王子文&&陈瑾&&陆毅&&张国强&&杨立新&&吕中&&咏梅&&刘莉莉&&马秋子,剧情&&历史&&灾难,中国大陆,139,7.7,345231
2012,罗兰·艾默里奇,约翰·库萨克&&阿曼达·皮特&&切瓦特·埃加福&&坦迪·牛顿&&奥利弗·普莱特&&汤姆·麦卡锡&&伍迪·哈里森&&丹尼·格洛弗&&连姆·詹姆斯&&摩根·莉莉&&扎特科·巴瑞克&&毕崔斯·罗森&&Alexandre Haussmann&&Philippe Haussmann&&乔翰·厄布&&约翰·比灵斯列&&黄经汉&&周逸之&&张铮&&卢燕&&布鲁·曼库马&&乔治·席格&&帕特里克·波查&&吉米·米斯特雷&&瑞安·麦克唐纳德&&玛丽莲·江恩&&区亨利&&帕特里克·吉尔莫&&韦弗·里库克&&多隆·贝尔&&大卫·奥斯&&泰·奥尔森&&Zinaid Memisevic&&BJ·哈里森&&Dominic Zamprogna&&卡琳·考诺娃&&Mary Gillis&&Rick Tae&&Parm Soor&&杰拉德·普伦科特&&伊芙·哈洛&&肖恩·泰森&&迈克尔·巴佛&&达伦·A·赫伯特&&朱迪·汤普森&&坦娅·钱普&&弗兰克·C·特纳&&拉腊·萨迪克&&吉莲·芭伯&&贝薇莉·埃利奥特&&阿加·达什&&拉吉·拉尔&&杰克博·布莱尔&&Scott E. Miller&&安娜-梅劳特里奇&&艾迪·哈塞尔&&亚历桑德拉·卡斯蒂略&&李利强&&杰夫·古斯塔夫森&&艾力克斯·萨哈拉&&杰森·格里菲斯&&吉尔·莫里森,动作&&科幻&&冒险&&灾难,美国,158,7.9,447876
画皮,陈嘉上,甄子丹&&周迅&&陈坤&&赵薇&&孙俪&&戚玉武&&晋松&&梁家豪&&柳岩&&肖聪&&叶尔江·马合甫什&&谭安业&&张灏&&闻洋&&赵长洲&&李奇龙&&曲大雷&&向恬冉&&韩振华&&金粮&&戴小轶&&陈敏渝&&王巧玉,剧情&&爱情&&惊悚&&奇幻,中国大陆,103,6.7,357228
再次出发之纽约遇见你,约翰·卡尼,凯拉·奈特莉&&马克·鲁弗洛&&亚当·莱文&&詹姆斯·柯登&&海莉·斯坦菲尔德&&凯瑟琳·基纳&&茅斯·达夫&&罗伯·莫洛&&伊恩·布罗茨基&&香农·沃尔什&&大卫·埃伯利斯&&马科·阿桑特&&玛丽·凯瑟琳·歌瑞森&&詹·雅各布&&席洛·格林&&詹妮弗·李·杰克逊&&特里·刘易斯&&吉米·帕伦博&&西蒙·德兰尼&&丹妮尔·布里瑟布瓦&&基恩·鲁弗洛&&尼古拉斯·丹尼尔·冈萨雷斯&&麦迪·科尔曼&&阿雅·卡什&&大卫·彭德尔顿&&保罗·罗梅罗&&安德鲁·塞伦&&凯伦·皮特曼&&罗恩·沃斯,喜剧&&爱情&&音乐,美国,104,8.5,298553
解忧杂货店,韩杰,王俊凯&&迪丽热巴&&董子健&&李鸿其&&董李无忧&&成龙&&秦昊&&陈都灵&&郝蕾&&李梦&&成泰燊&&高华阳&&潘斌龙&&孟慧圆&&孙小野,剧情&&奇幻,中国大陆,109,5.0,133190
理查德·朱维尔的哀歌,克林特·伊斯特伍德,保罗·沃尔特·豪泽&&山姆·洛克威尔&&凯西·贝茨&&奥利维亚·王尔德&&乔恩·哈姆&&妮娜·阿里安达&&伊恩·戈麦斯&&兰德尔·P·海文斯&&韦恩·杜瓦尔&&亚历克斯·柯林斯&&迈克·普涅夫斯基&&米切尔·霍格&&大卫·莫拉蒂&&比利·斯洛特&&迪伦·库斯曼&&肯德里克·克罗斯&&施奎塔·詹姆斯&&吉尔-米歇尔·梅里恩&&大卫·安&&查尔斯·格林&&大卫·伦格尔&&马洛里·霍夫&&罗伯特·廷斯利&&约翰·盖蒂尔&&本杰明·韦弗&&德克斯特·蒂利什&&布兰登·斯坦利&&瑞安·博兹,剧情,美国,131,8.3,59561
