电影名称,导演,主演,类型,制片国家/地区,时长,评分,评价人数
校园情圣,伍思薇,利·刘易斯&&丹尼尔·迪默&&艾丽克西斯·勒梅尔&&邹兆龙&&贝琦·安·贝克&&恩里克·穆西安诺&&沃尔夫冈·诺沃格拉茨&&凯瑟琳·科廷&&亚历山卓·巴格特&&乔纳·福尔肯&&Haley Murphy&&Mehmet Ozyagci&&Alex D. Jennings&&Jim Cleary&&Billy Thomas Myott&&Joe Lanza&&Michael DeBarge,喜剧&&爱情,美国,104,8.1,22816
何以为家,娜丁·拉巴基,赞恩·阿尔·拉菲亚&&约丹诺斯·希费罗&&博鲁瓦蒂夫·特雷杰·班科尔&&卡萨尔·艾尔·哈达德&&法迪·尤瑟夫&&海塔·塞德拉·伊扎姆&&阿拉·乔什涅&&娜丁·拉巴基&&埃利亚斯·库利&&努尔·艾尔·侯赛尼,剧情,黎巴嫩,126,9.1,640233
釜山行,延尚昊,孔侑&&郑有美&&马东锡&&金秀安&&金义城&&崔宇植&&安昭熙&&崔奎华&&郑锡勇&&艺秀晶&&朴明申&&张赫镇&&禹都临&&沈恩京,动作&&惊悚&&灾难,韩国,118,8.5,787257
唐伯虎点秋香,李力持,周星驰&&巩俐&&陈百祥&&郑佩佩&&朱咪咪&&梁家仁&&苑琼丹&&梁荣忠&&黄一山&&黄霑&&吴镇宇&&刘家辉&&蓝洁瑛&&谷德昭&&陈辉虹&&李健仁&&宣萱&&温翠苹,喜剧&&爱情&&古装,中国香港,102,8.6,711849
诛仙1,程小东,肖战&&李沁&&孟美岐&&唐艺昕&&刘端端&&李燊&&代旭&&邱心志&&姜大卫&&陈孝萱&&徐少强&&叶童&&梁家仁&&包小松&&陈立唯&&熊欣欣&&李熙&&谢辰&&何政庭&&张智坤&&孟子荻&&马佳玛尧&&张本煜&&李昕岳&&翟玉博,爱情&&奇幻&&古装,中国大陆,101,4.5,540138
寄生虫,奉俊昊,宋康昊&&李善均&&赵汝贞&&崔宇植&&朴素丹&&李静恩&&张慧珍&&郑知晓&&朴明勋&&朴叙俊&&朴根祿&&郑贤俊&&朴孝新&&安德烈亚斯·弗龙克,剧情&&喜剧,韩国,132,8.7,953829
星际穿越,克里斯托弗·诺兰,马修·麦康纳&&安妮·海瑟薇&&杰西卡·查斯坦&&卡西·阿弗莱克&&迈克尔·凯恩&&马特·达蒙&&麦肯吉·弗依&&蒂莫西·柴勒梅德&&艾伦·伯斯汀&&约翰·利思戈&&韦斯·本特利&&大卫·吉亚西&&比尔·欧文&&托弗·戈瑞斯&&科莱特·沃夫&&弗朗西斯·X·麦卡蒂&&安德鲁·博尔巴&&乔什·斯图沃特&&莱雅·卡里恩斯&&利亚姆·迪金森&&杰夫·赫普内尔&&伊莱耶斯·加贝尔&&布鲁克·史密斯&&大卫·奥伊罗&&威廉姆·德瓦内&&拉什·费加&&格里芬·弗雷泽&&弗洛拉·诺兰,剧情&&科幻&&冒险,美国,169,9.3,1083011
小丑,托德·菲利普斯,华金·菲尼克斯&&罗伯特·德尼罗&&马克·马龙&&莎姬·贝兹&&谢伊·惠格姆&&弗兰西丝·康罗伊&&布莱恩·考伦&&布莱恩·泰里·亨利&&布莱特·卡伦&&道格拉斯·霍奇斯&&格伦·弗莱施勒&&比尔·坎普&&乔什·帕斯&&但丁·佩雷拉-奥尔森&&玛丽·凯特·马拉特&&迈克尔·本茨&&莎珑·华盛顿&&桑德拉·詹姆斯&&托尼·赫德&&曼德拉·贝拉米&&乔·奥克曼&&卡尔·伦德施泰特&&米克·奥罗克&&大卫·吉布森&&伊万·罗萨多&&安妮·比萨比亚&&布莱斯·科里根&&乔恩·道格拉斯·雷尼&&艾恩斯利·丹恩&&杰森·约翰·奇卡莱塞,剧情&&惊悚&&犯罪,美国,122,8.7,692631
龙猫,宫崎骏,日高法子&&坂本千夏&&糸井重里&&岛本须美&&北林谷荣&&高木均&&雨笠利幸&&丸山裕子&&广濑正志&&鹫尾真知子&&铃木玲子&&千叶繁&&龙田直树&&鳕子&&西村朋纮&&石田光子&&神代知衣&&中村大树&&水谷优子&&平松晶子&&大谷育江,动画&&奇幻&&冒险,日本,86,9.2,901074
功夫,周星驰,周星驰&&元秋&&元华&&黄圣依&&梁小龙&&陈国坤&&田启文&&林子聪&&林雪&&冯克安&&释彦能&&冯小刚&&袁祥仁&&张一白&&赵志凌&&董志华&&何文辉&&陈凯师&&贾康熙&&林子善&&任珈锐&&王仕颖,喜剧&&动作&&犯罪&&奇幻,中国大陆,100,8.6,657287
绅士们,盖·里奇,马修·麦康纳&&查理·汉纳姆&&休·格兰特&&亨利·戈尔丁&&米歇尔·道克瑞&&杰瑞米·斯特朗&&科林·法瑞尔&&汤姆·吴&&琳·勒内&&马克斯·班内特&&布列塔尼·阿什沃思&&伊川东吾&&尤金娜·库日敏娜&&乔丹·朗&&杰森·王&&可可·萨姆纳&&拉塞尔·巴洛格&&布鲁斯·钟&&塞尔哈特·梅汀&&杰森· 莱恩斯&&奇迪·阿朱福&&莉莉·弗雷泽&&克里斯托弗·埃万格罗,剧情&&喜剧&&犯罪,英国,113,8.3,94336
少年派的奇幻漂流,李安,苏拉·沙玛&&伊尔凡·可汗&&拉菲·斯波&&阿迪勒·侯赛因&&塔布&&阿尤什·坦东&&加塔姆·贝鲁尔&&阿彦·汗&&穆德·阿巴斯·卡勒里&&维比什·希瓦库玛&&热拉尔·德帕迪约&&詹姆斯·塞托&&俊·奈托&&安德里亚·迪·斯戴法诺&&沙拉万提·塞纳特&&王柏杰&&柯一正&&黄健玮,剧情&&奇幻&&冒险,美国,127,9.1,1016489
大话西游之月光宝盒,刘镇伟,周星驰&&吴孟达&&罗家英&&蓝洁瑛&&莫文蔚&&江约诚&&陆树铭&&刘镇伟&&朱茵&&李健仁,喜剧&&爱情&&奇幻&&古装,中国香港,87,9.0,851587
唐人街探案2,陈思诚,王宝强&&刘昊然&&肖央&&刘承羽&&尚语贤&&王迅&&妻夫木聪&&迈克尔·皮特&&白灵&&元华&&曾江&&王成思&&杨金赐&&范湉湉&&佟丽娅&&陈思诚,喜剧&&动作&&悬疑,中国大陆,121,6.7,691327
放牛班的春天,克里斯托夫·巴拉蒂,热拉尔·朱尼奥&&弗朗索瓦·贝莱昂&&凯德·麦拉德&&让-保罗·博奈雷&&玛丽·布奈尔&&让-巴蒂斯特·莫尼耶&&马科森斯·珀林&&格雷戈里·加迪诺尔&&托马斯·布伦门塔尔&&西里尔·伯尔尼科特&&西蒙·法戈特&&泰奥杜尔·卡雷-卡赛尼&&菲利普·杜·詹纳兰德&&埃里克·德斯玛莱茨&&狄迪尔·弗拉蒙&&雅克·贝汉,剧情&&音乐,法国,97,9.3,937107
头号玩家,史蒂文·斯皮尔伯格,泰伊·谢里丹&&奥利维亚·库克&&本·门德尔森&&马克·里朗斯&&丽娜·维特&&森崎温&&赵家正&&西蒙·佩吉&&T·J·米勒&&汉娜·乔恩-卡门&&拉尔夫·伊内森&&苏珊·林奇&&克莱尔·希金斯&&劳伦斯·斯佩尔曼&&佩蒂塔·维克斯&&艾萨克·安德鲁斯,动作&&科幻&&冒险,美国,140,8.7,1000658
机器人总动员,安德鲁·斯坦顿,本·贝尔特&&艾丽莎·奈特&&杰夫·格尔林&&佛莱德·威拉特&&西格妮·韦弗&&MacInTalk&&约翰·拉岑贝格&&凯茜·纳基麦&&泰迪·牛顿&&鲍伯·伯根&&洛丽·理查德森&&吉姆·瓦德&&彼特·道格特&&安德鲁·斯坦顿&&杰夫·皮金&&约翰·齐甘&&米凯·麦高万&&雪莉·琳恩&&克莱特·惠特克&&唐纳德·富利洛夫&&罗里·艾伦&&杰斯·哈梅尔&&拉瑞恩·纽曼&&扬·拉布森&&保罗·伊丁,科幻&&动画&&冒险,美国,98,9.3,958656
西虹市首富,闫非,沈腾&&宋芸桦&&张一鸣&&张晨光&&常远&&魏翔&&赵自强&&九孔&&李立群&&王成思&&徐冬冬&&艾伦&&杨皓宇&&黄才伦&&王力宏&&包贝尔&&郎咸平&&张绍刚&&杨文哲&&陶亮&&王赞&&黄杨&&刘鉴&&杨沅翰&&林炳宝&&骆佳&&陈昊明&&臧一人,喜剧,中国大陆,118,6.6,777798
哈利·波特与魔法石,克里斯·哥伦布,丹尼尔·雷德克里夫&&艾玛·沃森&&鲁伯特·格林特&&艾伦·瑞克曼&&玛吉·史密斯&&汤姆·费尔顿&&伊恩·哈特&&理查德·哈里斯&&约翰·赫特&&罗彼·考特拉尼&&朱丽·沃特斯&&邦妮·怀特&&约翰·克立斯&&肖恩·比格斯代夫,奇幻&&冒险,美国,152,9.0,651470
看不见的客人,奥里奥尔·保罗,马里奥·卡萨斯&&阿娜·瓦格纳&&何塞·科罗纳多&&巴巴拉·莱涅&&弗兰塞斯克·奥雷利亚&&帕科·图斯&&大卫·塞尔瓦斯&&伊尼戈·加斯特西&&圣·耶拉莫斯&&马内尔·杜维索&&布兰卡·马丁内斯&&佩雷·布拉索&&霍尔迪·布鲁内特&&鲍比·冈萨雷斯&&玛蒂娜·乌尔塔多,剧情&&悬疑&&惊悚&&犯罪,西班牙,106,8.8,817802
无间道,刘伟强,刘德华&&梁朝伟&&黄秋生&&曾志伟&&郑秀文&&陈慧琳&&陈冠希&&余文乐&&杜汶泽&&林家栋&&萧亚轩,剧情&&悬疑&&犯罪,中国香港,101,9.2,864744
神偷奶爸,皮埃尔·柯芬,史蒂夫·卡瑞尔&&杰森·席格尔&&拉塞尔·布兰德&&朱莉·安德鲁斯&&威尔·阿奈特&&克里斯汀·韦格&&米兰达·卡斯格拉夫&&达纳·盖尔&&艾尔西·费舍尔&&皮埃尔·柯芬&&克里斯·雷纳德&&杰梅奈·克莱门特&&杰克·麦克布瑞尔&&丹尼·麦克布莱德&&敏迪·卡灵&&罗布·许贝尔&&肯·道里欧&&郑肯,喜剧&&动画&&冒险,美国,95,8.6,694380
飞屋环游记,彼特·道格特,爱德华·阿斯纳&&克里斯托弗·普卢默&&乔丹·长井&&鲍勃·彼德森&&德尔罗伊·林多&&杰罗姆·兰福特&&约翰·拉岑贝格&&大卫·卡耶&&艾丽·道克特&&杰里米·利里&&米凯·麦高万&&丹尼·曼恩&&唐纳德·富利洛夫&&杰斯·哈梅尔&&乔什·库雷&&彼特·道格特,剧情&&喜剧&&动画&&冒险,美国,96,9.0,946877
阿凡达,詹姆斯·卡梅隆,萨姆·沃辛顿&&佐伊·索尔达娜&&西格妮·韦弗&&史蒂芬·朗&&米歇尔·罗德里格兹&&吉奥瓦尼·瑞比西&&乔·大卫·摩尔 &&希·庞德&&韦斯·斯塔迪&&拉兹·阿隆索&&迪利普·劳&&马特·杰拉德&&肖恩·安东尼·莫兰,动作&&科幻&&冒险,美国,162,8.7,941649
战狼2,吴京,吴京&&弗兰克·格里罗&&吴刚&&张翰&&卢靖姗&&丁海峰&&淳于珊珊&&余男&&于谦&&石兆琪&&海蒂·莫尼梅克&&奥列格·普鲁迪乌斯&&艾伦·托尼&&赛尔·哈里斯&&高明&&王森&&苇青&&程愫&&张永达&&郭秋成&&杜建桥&&周冠廷&&安·詹姆斯&&黛安娜·希拉&&孙率航&&张馨月&&关海龙&&安妮塔·斯图尔特&&特雷弗·琼斯&&奥斯汀·普里斯特&&克莱·方特诺特&&保罗·艾力卡&&丹尼尔·哈格里夫&&李镇男&&庄小龙&&陈云志&&肯尼迪,动作&&战争,中国大陆,123,7.1,726986
哈尔的移动城堡,宫崎骏,倍赏千惠子&&木村拓哉&&美轮明宏&&我修院达也&&神木隆之介&&伊崎充则&&大泉洋&&大塚明夫&&原田大二郎&&加藤治子&&都筑香弥子,动画&&奇幻&&冒险,日本,119,9.1,690086
红海行动,林超贤,张译&&黄景瑜&&海清&&杜江&&蒋璐霞&&尹昉&&王强&&郭家豪&&王雨甜&&麦亨利&&张涵予&&王彦霖,动作&&战争,中国大陆,138,8.3,805885
倩女幽魂：人间情,林珍钊,李凯馨&&陈星旭&&元华&&徐少强&&张致恒&&高琳&&刘益嫣&&耿靖塇&&姜国钧&&王志宏&&曹旭&&骆达华&&张春仲,剧情&&爱情&&奇幻,中国大陆,96,4.9,15684
调音师,斯里兰姆·拉格万,阿尤斯曼·库拉纳&&塔布&&拉迪卡·艾普特&&安尔·德霍万&&马纳夫·维吉&&阿什维尼·卡尔塞卡&&查亚·卡达姆&&萨基尔·侯赛因&&拉什米·阿格德卡&&莫希尼·凯瓦拉曼,喜剧&&悬疑&&惊悚&&犯罪,印度,139,8.3,658221
飞驰人生,韩寒,沈腾&&黄景瑜&&尹正&&张本煜&&尹昉&&田雨&&魏翔&&赵文瑄&&腾格尔&&易小星&&李庆誉&&高华阳&&刘帅良&&李玲玉&&何穗&&潘晓婷&&田原&&李春嫒&&冯绍峰,喜剧,中国大陆,98,6.9,731618
美丽人生,罗伯托·贝尼尼,罗伯托·贝尼尼&&尼可莱塔·布拉斯基&&乔治·坎塔里尼&&朱斯蒂诺·杜拉诺&&赛尔乔·比尼·布斯特里克&&玛丽萨·帕雷德斯&&霍斯特·布赫霍尔茨&&利迪娅·阿方西&&朱利亚娜·洛约迪切&&亚美利哥·丰塔尼&&彼得·德·席尔瓦&&弗朗西斯·古佐&&拉法埃拉·莱博罗尼&&克劳迪奥·阿方西&&吉尔·巴罗尼&&马西莫·比安奇&&恩尼奥·孔萨尔维&&吉安卡尔洛·科森蒂诺&&阿伦·克雷格&&汉尼斯·赫尔曼&&弗兰科·梅斯科利尼&&安东尼奥·普雷斯特&&吉娜·诺维勒&&理查德·塞梅尔&&安德烈提多娜&&迪尔克·范登贝格&&奥梅罗·安东努蒂,剧情&&喜剧&&爱情&&战争,意大利,116,9.5,956761
