电视剧名称,导演,主演,类型,制片国家/地区,年份,评分,评价人数
非自然死亡,冢原亚由子,石原里美&&井浦新&&洼田正孝&&市川实日子&&松重丰&&龙星凉&&药师丸博子&&北村有起哉&&大仓孝二&&小笠原海&&池田铁洋&&福士诚治&&泉泽祐希&&菅野莉央&&松村沙友理&&森高爱,剧情&&悬疑,日本,2018,9.4,384333
神探夏洛克,保罗·麦圭根,本尼迪克特·康伯巴奇&&马丁·弗瑞曼&&鲁珀特·格雷夫斯&&安德鲁·斯科特&&马克·加蒂斯&&尤娜·斯塔布斯&&露易丝·布瑞丽&&菲尔·戴维斯&&嘉玛·陈&&奥利维亚·波莉&&雯叶特·罗宾逊&&坦娅·穆迪&&希欧布罕·休莱特&&约翰·麦克米兰&&杰克·本斯&&保罗·彻克&&丹尼尔·伯希威尔&&博迪·卡维尔&&阿尔·韦弗&&佐伊·特尔福德&&黛布拉·摩尔&&马修·尼达姆&&Lauren Crace,剧情&&悬疑&&犯罪,英国,2010,9.4,339000
西部世界,乔纳森·诺兰,埃文·蕾切尔·伍德&&坦迪·牛顿&&泰莎·汤普森&&杰弗里·怀特&&艾德·哈里斯&&亚伦·保尔&&卢克·海姆斯沃斯&&丽娜·维特&&汤米·弗拉纳根&&文森特·卡索&&莱昂纳多·吴&&马歇尔·林奇&&卡迪小子&&真田广之&&王盛德&&托勒密·斯洛克姆&&韦恩·佩雷&&斯科特·康纳斯&&弗雷德里克·基夫&&戴维·贝尼奥夫&&D·B·威斯,剧情&&科幻&&悬疑&&西部,美国,2020,8.7,35852
小欢喜,汪俊,黄磊&&海清&&陶虹&&王砚辉&&沙溢&&咏梅&&周奇&&李庚希&&郭子凡&&刘家祎&&任重&&吴施乐&&徐梵溪&&王栎鑫&&钟丽丽&&金丰&&白玉&&郭广平&&焦体怡&&杨青&&徐敏&&李野萍&&王晴&&杨雨婷&&冯晖&&金溪&&朱铁,剧情&&家庭,中国大陆,2019,8.4,201613
说的就是你3,王吕叉,宋卿&&杨天琪&&陶宇杰&&顾珂嘉&&孙琰清,喜剧,中国大陆,2020,9.0,5972
三生三世枕上书,杨玄,迪丽热巴&&高伟光&&陈楚河&&郭品超&&刘雨欣&&刘芮麟&&王骁&&李东恒&&袁雨萱&&黄俊捷,剧情&&爱情&&奇幻,中国大陆,2020,6.7,261682
爱的迫降,李政孝,玄彬&&孙艺珍&&徐智慧&&金正贤&&全国焕&&郑爱利&&河锡辰&&南庆邑&&方银振&&黄雨瑟惠&&尹智敏&&张慧珍&&朴明勋&&金善映&&金贞兰&&张素妍&&吴万石&&金永敏&&郑京浩&&金秀贤&&崔智友,剧情,韩国,2019,8.2,153518
都挺好,简川訸,姚晨&&倪大红&&郭京飞&&杨祐宁&&李念&&高鑫&&高露&&陈瑾&&张晨光&&王东&&彭昱畅&&康群智&&侯长荣&&田丽&&王正权&&红花&&赵彦民&&涂凌&&石雨鑫&&薇薇安&&李俊霆&&王成&&孙微木&&岳旸&&刘钧&&赵千紫&&李盟&&范哲琛,剧情&&家庭,中国大陆,2019,7.8,247686
不完美的她,刘飚,周迅&&黄觉&&惠英红&&赵雅芝&&金士杰&&童瑶&&曲高位&&蔡雅同&&蒋昀霖&&陈思诺&&曾一萱&&刘白沙&&康福震&&阳博&&陈芷琰&&郭铁城&&海一天&&迟蓬&&马维福&&孙磊&&赵雅莉,犯罪,中国大陆,2020,6.5,53086
来自星星的你,张太维,金秀贤&&全智贤&&朴海镇&&刘仁娜&&吴尚镇&&安宰贤&&申成禄&&赵承贤&&金贤秀&&李一花,爱情,韩国,2013,8.4,260464
最好的我们,刘畅,刘昊然&&谭松韵&&王栎鑫&&董晴&&李砚&&方文强&&陈梦希&&刘启恒&&梁浩&&孙佳雨&&晁然&&张磊&&高文峰&&刘文曲&&张文婷&&单雯俪&&范艺萌&&安洁&&赵岩松&&李佳蔚&&曲海峰&&荣梓杉&&蓝天&&聂子皓&&绳玉琴&&莲洁&&宁子&&刘美含&&孙莹莹&&李爱晶&&张杭&&吕赢&&叶政潼&&伦鹏&&李胜达&&孙紫琳&&曹冬羽&&于文韬&&何雅洁&&刘佳潼&&吴祥礼&&MC歌者阳子,剧情&&爱情,中国大陆,2016,8.9,211095
仙剑奇侠传,吴锦源,胡歌&&刘亦菲&&安以轩&&刘品言&&彭于晏&&谢君豪&&李丽珍&&徐锦江&&谭耀文&&邓家佳&&邓立民&&周德华&&钟夫翔&&蒋欣&&张茜&&杨明娜&&王禄江&&杨昆&&郑佩佩&&张芯瑜&&黄智贤&&孙莉&&曾之乔&&过齐鸣,爱情&&奇幻&&武侠&&古装,中国大陆,2005,8.9,160863
杀死伊芙,荣·伊斯特,吴珊卓&&朱迪·科默&&费奥纳·肖&&欧文·麦克唐纳&&金·波德尼亚&&柯尔比·豪威尔-巴普蒂斯特&&肖恩·德兰尼&&达伦·博伊德&&大卫·海格&&爱德华·阿克鲁特,剧情&&惊悚,美国,2018,8.7,124905
