电视剧名称,导演,主演,类型,制片国家/地区,年份,评分,评价人数
天龙八部,鞠觉亮,胡军&&林志颖&&高虎&&修庆&&刘亦菲&&陈好&&刘涛&&魏宗万&&蒋欣&&杨蕊&&汤镇宗&&舒畅&&申军谊&&计春华&&石兰&&马浴柯&&李勇勇&&王璐瑶&&彭丹&&高远&&钟丽缇&&阮丹宁&&王祎&&王海珍&&周冰清&&周玉洁&&任泽巍&&刘立伟&&张衡平&&李彧&&高照&&赵雍&&修革&&巴音&&吕士刚&&谢雨欣&&张谦&&任舞&&鄂不斯&&晋松&&郑爽&&孙蛟龙&&许还山&&张纪中&&马仑&&黄小蕾&&刘仲元&&周晓文&&杨念生&&许敬义&&张楠&&赵强&&廖琪瑛,剧情&&动作&&武侠,中国大陆,2003,8.3,67678
唐顿庄园,布莱恩·派西维尔,休·博纳维尔&&米歇尔·道克瑞&&劳拉·卡尔迈克尔&&杰西卡·布朗·芬德利&&吉姆·卡特&&布兰登·柯伊尔&&琼安·弗洛加特&&罗伯·詹姆斯-克里尔&&丹·史蒂文斯&&佩内洛普·威尔顿&&玛吉·史密斯&&伊丽莎白·麦戈文&&菲利斯·洛根&&索菲 麦希拉,剧情,英国,2010,9.3,142408
曼达洛人,黛博拉·周,佩德罗·帕斯卡&&Kyle Pacek&&泰特·弗莱彻&&Bernard Bullen&&吉娜·卡拉诺&&Alexandra Manea&&布伦丹·维恩&&沃纳·赫尔佐格&&卡尔·韦瑟斯&&奥米德·阿布塔西&&尼克·诺特&&艾米莉·斯沃洛&&Luis Richard Gomez&&Misty Rosas&&Jamal Antar&&塔伊加·维迪提&&约翰·比斯利&&霍拉提奥·桑斯&&瑞恩·沃森&&布莱恩·波塞恩&&阿西夫·阿里&&萨拉·贝克&&尤金·科德罗&&吉安卡罗·埃斯波西托&&利欧·哈克福德&&茱莉亚·琼斯&&多米尼克·培斯&&乔恩·费儒&&裘德·沃尔克,科幻&&奇幻,美国,2019,9.2,41132
生活大爆炸,马克·森卓斯基,吉姆·帕森斯&&凯莉·库柯&&约翰尼·盖尔克奇&&西蒙·赫尔伯格&&昆瑙·内亚&&马伊姆·拜力克&&梅丽莎·劳奇&&凯文·苏斯曼&&劳里·梅特卡夫&&瑞琪·琳德赫姆&&史蒂芬·霍金&&贝丝·比厄&&沃尔顿·戈金斯&&比尔·盖茨&&马克·哈米尔&&凯西·贝茨&&劳伦·拉普库斯&&Joseph Teller&&约翰·罗斯·鲍伊&&布莱恩·波塞恩&&威尔·惠顿&&考特尼·海根勒&&杰瑞·奥康奈尔&&尼尔·盖曼,喜剧&&爱情,美国,2017,9.4,47531
天下第一,邓衍成,郭晋安&&霍建华&&李亚鹏&&张卫健&&高圆圆&&黄圣依&&刘松仁&&陈怡蓉&&叶璇&&李建义&&邓超&&汤镇业&&陈法蓉&&唐群,动作&&爱情&&古装,中国大陆,2005,8.1,51051
闯关东,张新建,李幼斌&&萨日娜&&宋佳&&牛莉&&马恩然&&高明&&朱亚文&&刘向京&&黄小蕾&&靳东&&梁林琳&&齐奎&&王奎荣&&毕彦君&&鲍国安&&丁嘉丽&&李庆祥&&王绘春&&刘金山&&高强&&赵亮&&李大强&&任帅&&王德顺&&赵苏婷&&张延平&&王一峰&&杨强&&侯祥&&李山&&于洪涛&&朱光有&&刘楠&&刘明&&张慧兰&&赵学贤&&王永泉&&刘建仁&&刘慧逸&&唐春新&&王晓玲&&尚铁龙&&岳旸&&刘鑫&&康群智&&刘红星&&穆丽燕&&邓鸣&&周游&&王博&&杨丽晓&&刘肇烨&&许陈俊嘉&&关一&&李克伟&&王凡奇&&张书田 &&李品夆&&王波&&梁西&&邢峰&&张永丰&&李小波&&黄强&&李亮&&张洪铭,剧情,中国大陆,2008,9.2,61548
我的女孩,全基尚,李栋旭&&李多海&&李准基&&朴诗妍&&安锡焕&&边熙峰&&崔兰&&韩彩英&&黄宝罗&&李嫣静&&在熙,喜剧&&爱情,韩国,2005,8.0,93994
老友记,KevinBright,詹妮弗·安妮斯顿&&柯特妮·考克斯&&丽莎·库卓&&马特·勒布朗&&马修·派瑞&&大卫·休默,喜剧&&爱情,美国,2003,9.8,85426
大明宫词,李少红,陈红&&归亚蕾&&周迅&&赵文瑄&&傅彪&&申军谊&&贾妮&&刘栋&&吴军忱&&孙斌&&李昊翰&&高冬平&&李冰冰&&杨雨婷,剧情&&爱情&&古装,中国大陆,2000,9.0,86548
黑镜,欧文·哈里斯,古古·姆巴塔-劳&&麦肯兹·戴维斯&&布莱丝·达拉斯·霍华德&&凯莉·麦克唐纳&&杰罗姆·弗林&&埃里克斯·劳瑟&&爱丽丝·伊芙&&詹姆斯·诺顿&&迈克尔·凯利&&马拉基·卡比&&玛德琳·布鲁尔&&怀亚特·罗素&&汉娜·乔恩-卡门&&费伊·马赛&&本尼迪克特·王,剧情&&科幻&&惊悚,美国,2016,8.9,132853
恶作剧2吻,瞿友宁,郑元畅&&林依晨&&汪东城&&唐禹哲&&曾少宗&&修杰楷,喜剧&&爱情,中国台湾,2007,8.6,69336
喜欢的话请响铃,李娜静,金所泫&&郑家蓝&&宋康&&高敏诗&&池赫拉&&申承浩&&李在应,爱情&&科幻,韩国,2019,7.7,22171
摩登家庭,JamesAlanHensz,艾德·奥尼尔&&索菲娅·维加拉&&朱丽·鲍温&&泰·布利尔&&杰西·泰勒·弗格森&&艾瑞克·斯通斯崔特&&萨拉·海蓝德&&阿芮尔·温特&&诺兰·古德&&里克·罗德里格兹&&奥布里·安德森-埃蒙斯&&亚当·德维尼&&里德·尤因&&贾斯汀·柯克&&杰瑞米·马奎尔,喜剧,美国,2015,9.4,30264
纸钞屋,ÁlexPina,乌苏拉·科尔维罗&&伊西娅尔·伊图诺&&阿尔瓦罗·莫奇,剧情&&动作&&悬疑,西班牙,2017,8.6,13125
天道,张前,王志文&&左小青&&曾红生&&石爻&&郑强&&王全有&&施大生&&李洪权&&杨俊勇&&方晓莉&&赵会南,剧情&&爱情,中国大陆,2007,9.1,25772
宝莲灯,余明生,曹骏&&舒畅&&焦恩俊&&林湘萍&&刘宇桥&&刘晓庆&&刘小锋&&朴诗妍&&颜丹晨&&谢宁&&王卫国&&陈创&&丁健&&洛葳&&张志超&&游本昌&&田二喜&&周洁&&吴国华&&汪永贵&&李保成&&赵书君&&李健迅&&朱亚英&&刘洁&&李佳艺&&叶伊娜&&马丽清&&杨斯&&王文升&&马杰林&&田学民&&赵奇&&宗峰岩&&万妮恩&&罗光跃&&李斗&&唐颖&&刘书兴&&史良&&成苏东&&陆兵&&王翔&&姚长江&&习先锋&&袁寒&&申洁&&邓佳&&郭晔&&王佳渝&&张楠,剧情&&奇幻&&古装,中国大陆,2005,7.2,38726
余罪,张睿,张一山&&吴优&&常戎&&张锦程&&王戈&&葛铮&&张承&&白一弘&&孙佳雨&&张雨剑&&杜子名&&于笑&&李又麟&&徐冬冬&&门东毅&&虞朗&&赵雷棋&&张亚希,剧情&&犯罪,中国大陆,2016,7.5,77807
大军师司马懿之军师联盟,张永新,吴秀波&&刘涛&&李晨&&于和伟&&张钧甯&&唐艺昕&&翟天临&&张芷溪&&王劲松&&王东&&肖顺尧&&檀健次&&章贺&&刘欢&&杜奕衡&&曹磊&&来喜&&陆思宇&&王仁君&&陆妍淇&&黄俊鹏&&王伯昭&&许还山&&褚栓忠&&张志忠&&李佑伟&&张逗逗&&蒲萄&&陈喆伦&&韩东&&时光&&陈之辉,剧情&&爱情&&战争&&古装,中国大陆,2017,8.2,105145
小别离,汪俊,黄磊&&海清&&张子枫&&朱媛媛&&韩青&&汪俊&&陈数&&陈小纭&&胡先煦&&赵今麦&&江语晨&&邬君梅&&高明&&王姬&&王俊凯&&王源&&易烊千玺&&王维维&&宋晓英&&金溪&&冯嘉怡&&陈东&&魏伊&&崔慕燕&&路东昌&&希茜&&李承炫&&吴思丹&&李天宇&&刘芮麟&&王佳宇&&尚丽芬&&达伦·格罗夫纳,剧情&&家庭,中国大陆,2016,7.9,52560
美国夫人,安娜·波顿,凯特·布兰切特&&罗丝·伯恩&&莎拉·保罗森&&玛格·马丁戴尔&&乌佐·阿杜巴&&伊丽莎白·班克斯&&崔茜·尤玛&&约翰·斯拉特里&&詹姆斯·麦斯登&&艾莉·葛瑞那&&亚当·布罗迪&&凯莉·卡特&&格雷森·戴利&&卡莉·斯泽恩&&杰·埃利斯&&梅兰妮·林斯基&&珍妮·特里普里霍恩&&南希·纳什&&特蕾莎·帕夫林克&&利亚姆·麦克唐纳&&安德里亚·纳维多&&丹妮尔·布尔贡&&诺维·爱德华兹&&马西娅·贝内特&&安娜·道格拉斯&&罗伯塔·科林德雷斯&&塔拉·尼科迪莫,剧情,美国,2020,9.2,4494
吸血鬼日记,马科斯·西恩加,妮娜·杜波夫&&保罗·韦斯利&&伊恩·萨默海尔德&&史蒂夫·R·麦奎因&&卡特琳娜·格兰厄姆&&坎迪丝·阿科拉&&扎齐·罗伊瑞格&&迈克尔·特瑞威诺&&莎拉·坎宁,剧情&&爱情&&恐怖&&奇幻,美国,2009,8.4,96919
摩登家庭,杰森·维纳,艾德·奥尼尔&&索菲娅·维加拉&&朱丽·鲍温&&泰·布利尔&&杰西·泰勒·弗格森&&艾瑞克·斯通斯崔特&&里德·尤因&&萨拉·海蓝德&&阿芮尔·温特&&诺兰·古德&&里克·罗德里格兹&&奥布里·安德森-埃蒙斯,喜剧&&家庭,美国,2011,9.5,51088
老友记,KevinBright,詹妮弗·安妮斯顿&&柯特妮·考克斯&&丽莎·库卓&&马特·勒布朗&&马修·派瑞&&大卫·休默,喜剧&&爱情,美国,2000,9.8,68037
盗墓笔记,罗永昌,李易峰&&杨洋&&刘天佐&&李晨浩&&苏青&&魏巍&&黄宥明&&李昕亮&&颖儿&&郑佩佩&&唐嫣&&孙耀琦&&张智尧&&张晓晨,悬疑&&冒险,中国大陆,2015,4.8,64700
全职高手,十一月,杨洋&&江疏影&&赖雨濛&&梁森&&李沐宸&&赖艺&&杨廷东&&范津玮&&孙宁&&白翔&&蒋龙&&高瀚宇&&顾宇峰&&顾佑明&&宋涵宇&&李俊辰&&翟子路&&陈泓政&&曲澔濬&&郝帅&&刘秋实&&蒋雪鸣&&冷纪元&&赵楚纶&&纪向宁&&权沛伦&&匡牧野,剧情,中国大陆,2019,7.4,116522
奋斗,赵宝刚,马伊琍&&佟大为&&文章&&李小璐&&朱雨辰&&王珞丹&&徐梵溪&&周晓鸥&&张晨光&&陈意涵&&毕彦君&&张伟欣&&滕旋&&崔志刚&&春晓&&谭凯&&张谦&&苏小明&&吴玉华&&程雍&&李萍&&英壮&&徐美玲&&郑凯&&刘金山&&李文波&&刘丰源&&袁世龙&&李明洁&&陈强&&张杰,喜剧&&爱情,中国大陆,2007,7.6,107853
纸牌屋,大卫·芬奇,凯文·史派西&&罗宾·怀特&&凯特·玛拉&&迈克尔·凯利&&克里斯汀·康奈利&&寇瑞·斯托尔&&沙基纳·贾弗里&&何家蓓&&康斯坦斯·齐默&&马赫沙拉·阿里&&瑞秋·布罗斯纳安&&雷格·E·凯蒂,剧情,美国,2013,9.2,157852
耀眼,金锡允,金惠子&&韩智敏&&南柱赫&&孙浩俊,剧情&&爱情&&奇幻,韩国,2019,9.0,38183
水浒传,张绍林,李雪健&&宁晓志&&周野芒&&臧金生&&丁海峰&&赵小锐&&修庆&&郑爽,剧情&&历史&&古装,中国大陆,1998,8.8,46240
我爱我家,英达,文兴宇&&宋丹丹&&杨立新&&梁天&&关凌&&赵明明&&沈羽倩,喜剧&&家庭,中国大陆,1993,9.3,69577
囚犯医生,黄仁赫,南宫珉&&权娜拉&&金炳哲&&崔元英&&李多寅&&朴恩硕&&金贞兰&&张铉诚&&姜信日&&李敏英&&裴允京,剧情,韩国,2019,8.9,56577
天乩之白蛇传说,尹涛,杨紫&&任嘉伦&&茅子俊&&李曼&&刘学义&&何杜娟&&傅方俊&&朱晓渔&&何中华&&王劲松&&张墨锡&&赵文浩&&白凯南&&何琳&&刘嘉玲&&赵雅芝,剧情&&爱情&&古装,中国大陆,2018,6.2,40985
芸汐传,林健龙,鞠婧祎&&张哲瀚&&米热&&林思意&&王佑硕&&卢星宇&&许佳琪&&黄露露&&邵雪聪&&高雄&&胡兵,爱情&&武侠&&古装,中国大陆,2018,6.3,32965
龙门镖局,王勇,郭京飞&&袁咏仪&&李倩&&张瑞涵&&钱芳&&刘冠麟&&杨皓宇&&傅家缘&&雷佳音&&姚晨&&喻恩泰&&黄晓明&&陈晓&&陆毅&&佟大为&&马天宇&&焦俊艳&&尹正&&印小天&&胡彦斌&&元秋&&晨阳&&莫小棋&&肖央&&连凯&&霍思燕&&严屹宽&&袁弘&&保剑锋&&王一楠&&朱茵&&徐洁儿&&姚橹&&苏东&&李传缨&&文清&&熊乃瑾&&付辛博&&马苏&&张子枫&&黄龄&&张一白&&孔二狗&&高群书&&柯蓝&&阿朵&&甘露&&练练&&李佳航&&翟煦飞&&宁财神&&张馨予&&陈赫&&杜淳&&李晨&&王学兵&&王煜锋&&陈德铭,喜剧&&古装,中国大陆,2013,7.5,72482
人不彪悍枉少年,邓科,侯明昊&&万鹏&&张耀&&代露娃&&李明德&&潘美烨&&王森,剧情&&爱情,中国大陆,2018,7.5,39527
遇见王沥川,陈铭章,高以翔&&焦俊艳&&连凯&&林佑威&&吴辰君&&杜源&&许还山&&王若心&&黄爱玲&&郑希怡&&陈冲&&谢芳&&戴墨&&吴迪&&王彦霖&&王宇&&牟紫&&张庆庆&&刘岳&&王伯昭&&刘欣&&曾秋生&&金粮&&钟夫翔&&金泠云&&刘寿宇&&张栩&&哼哼&&隋凯,剧情&&爱情,中国大陆,2016,8.8,90111
北灵少年志之大主宰,张萌,王源&&欧阳娜娜&&骆明劼&&马月&&徐浩&&王奕婷,剧情&&奇幻&&古装,中国大陆,2020,4.9,87905
水月洞天,梁国冠,于波&&蔡少芬&&杨俊毅&&陈法蓉&&张晋&&杨光&&徐少强&&张茜&&卢星宇,动作&&奇幻&&古装,中国大陆,2003,8.3,25833
摩登家庭,斯蒂文·莱维坦,艾德·奥尼尔&&索菲娅·维加拉&&朱丽·鲍温&&泰·布利尔&&杰西·泰勒·弗格森&&艾瑞克·斯通斯崔特&&里克·罗德里格兹,喜剧&&家庭,美国,2012,9.5,48737
神话,蒋家骏,胡歌&&白冰&&张世&&任泉&&陈紫函&&金莎&&李易祥&&谭凯&&张萌,剧情&&动作&&奇幻,中国大陆,2010,7.4,47565
欢天喜地七仙女,胡贝易,霍思燕&&郑国霖&&蒋欣&&杨蕊&&曹艳&&刘东&&张桐&&吴健&&谢沅江&&林江国&&吴樾&&潘虹&&刘洋&&母丹&&王晶&&六小龄童,剧情&&喜剧,中国大陆,2005,7.3,29544
杀了我治愈我,金镇满,池晟&&黄正音&&朴叙俊&&金釉利&&吴闵硕,剧情&&喜剧&&爱情,韩国,2015,8.8,78682
禁忌女孩,TinnapatBanyatpiyapoj,琪洽·安玛达雅混&&Up Poompat Iam-samang&&Awat Ratanapintha&&肯干卡·坤乍努&&纳塔西特·科蒂马努瓦尼&&淳妮苷·内醉&&努查潘·帕拉玛查伦罗&&茉拉可·刘&&琵雅妲·沃拉慕斯,剧情&&惊悚&&犯罪,泰国,2018,8.3,23227
风云,徐进良,赵文卓&&何润东&&千叶真一&&蒋勤勤&&陶红&&吴辰君&&江祖平&&王喜&&邢岷山&&孙兴&&王翔弘&&何笃霖&&卜学亮&&顾冠忠&&杨力&&格桑&&周静&&张志伟&&沈保平&&李雨泽&&田仲梅&&张衡平&&王锡辉&&徐为平&&黄品沅&&刘喜&&蔡兴麟&&金萍&&王成&&张巍&&陈冠桦&&李小燕&&贾石头&&王瑜&&毛庭齐&&莫美林&&王惠五&&田丽&&禾家承&&李晨&&左百学&&陈柏瑜&&钟明和&&程思寒&&刘金全&&张昕&&朱通&&张西贝&&尹易凡&&段凯&&谷金,动作&&奇幻&&武侠,中国大陆,2002,7.5,44725
请回答1997,申源浩,郑恩地&&徐仁国&&申素率&&殷志源&&李浩沅&&李时言&&成东日&&宋宗浩&&李一花&&金叡园,剧情&&喜剧&&爱情,韩国,2012,9.0,94253
春夜,安畔锡,韩智敏&&丁海寅&&金俊翰&&李尚熙&&周敏京&&吉海妍&&李茂生&&吴万锡&&金正英&&徐正妍&&李昌勋&&金昌完,剧情&&爱情,韩国,2019,8.3,39633
大小谎言,安德里亚·阿诺德,瑞茜·威瑟斯彭&&妮可·基德曼&&梅丽尔·斯特里普&&谢琳·伍德蕾&&佐伊·克罗维兹&&劳拉·邓恩&&亚历山大·斯卡斯加德&&亚当·斯科特&&伊恩·阿米蒂奇&&凯瑟琳·纽顿&&罗宾·薇格特&&凯伦 科尔曼&&梅琳·当吉&&詹姆士·塔珀&&道格拉斯·史密斯&&达比·坎普&&杰弗里·诺灵&&凯蒂·菲德斯通&&克洛伊·科尔曼&&莫·麦克雷&&拉里·苏利文&&卡梅伦·克罗维蒂&&艾薇·乔治&&尼古拉斯·克罗维蒂&&克里斯·阿基利诺&&霍梅洛·洛佩兹,剧情&&悬疑&&犯罪,美国,2019,8.9,47346
斗罗大陆,杨振宇,肖战&&吴宣仪&&辰亦儒&&高泰宇&&刘美彤&&刘润南&&敖子逸&&顾佑明,爱情&&古装,中国大陆,2020,,
济公,张戈,游本昌&&吕凉,喜剧&&奇幻&&古装,中国大陆,1985,8.4,36360
俗女养成记,严艺文,谢盈萱&&温升豪&&蓝苇华&&吴以涵&&夏靖庭&&杨丽音&&陈竹昇&&琇琴&&吴慷仁,剧情&&喜剧,中国台湾,2019,9.1,35917
法证先锋4,梅小青,黄浩然&&李施嬅&&谭俊彦&&陈炜&&朱晨丽&&谢贤&&米雪&&汤洛雯&&郭子豪&&张彦博&&郑希怡&&郑俊弘&&谢雪心&&康华&&张文慈&&海俊杰&&陆诗韵&&李美慧&&蔡思贝&&吕珊&&曾伟权&&朱汇林&&杨柳青&&黄耀煌&&陈少邦&&温家伟&&赵璧渝&&谢芷伦&&区霭玲&&莫家淦&&黄祥兴&&杨潮凯&&张曦雯&&陈敏之&&鲍起静&&张颕康&&郑子诚&&陈志健&&黎燕珊&&古明华&&杨证桦&&嘉骏&&林子超&&刘家聪&&黄得生&&罗兰&&麦玲玲&&Kim Robertson&&杨玉梅&&李龙基&&陈嘉桓&&李漫芬&&袁洁仪&&吴香伦&&李丽丽&&胡美贻&&程皓&&吴沚默&&张本立&&林惜贞&&吴卓衡&&陈康琪&&关嘉敏&&夏子涓&&林靖文&&区明妙&&朱敏瀚&&区轩玮&&魏惠文&&周丽欣&&张诗欣&&罗鸿&&吴家乐&&关伟伦&&曾海昌&&谢可逸&&胡㻗&&张子丰,悬疑&&犯罪,中国香港,2020,5.1,31800
大小谎言,让-马克·瓦雷,瑞茜·威瑟斯彭&&妮可·基德曼&&谢琳·伍德蕾&&劳拉·邓恩&&亚历山大·斯卡斯加德&&亚当·斯科特&&佐伊·克罗维兹&&詹姆士·塔珀&&杰弗里·诺灵&&伊恩·阿米蒂奇&&桑地亚哥·卡布瑞拉&&达比·坎普&&凯伦 科尔曼&&凯瑟琳·纽顿&&拉里·贝茨&&凯瑟琳·卡瓦里&&大卫·莫纳汉 &&拉里·苏利文&&克洛伊·科尔曼&&卡梅伦·克罗维蒂&&尼古拉斯·克罗维蒂&&莎拉·贝克&&莎拉·伯恩斯&&P·J·伯恩&&吉娅·卡迪斯&&周洪&&约瑟夫·克罗斯&&艾薇·乔治&&弗吉尼亚·库尔&&梅琳·当吉&&罗宾·薇格特&&耐莉·布凯&&帕克·克罗夫特&&吉米·希尔兹,剧情&&悬疑&&犯罪,美国,2017,9.0,98484
经常请吃饭的漂亮姐姐,安畔锡,孙艺珍&&丁海寅&&李珠英&&吴龙&&魏化儁&&李昶勋&&吴万锡&&张元亨&&金钟泰&&郑幼贞&&李和龙&&徐正妍&&朴赫权&&张素妍&&吉海妍&&尹钟硕,剧情&&爱情,韩国,2018,7.6,71490
忽而今夏,吕赢,白宇&&卜冠今&&吕鹏&&张书维&&杨玥&&方文强&&刘哲尔&&侯晴子梓&&张磊,剧情,中国大陆,2018,8.2,55884
少年派,刘惠宁,张嘉译&&闫妮&&赵今麦&&郭俊辰&&姜冠南&&王玉雯&&刘孜&&冯雷&&扈耀之&&王韵宣&&曲凌子&&申梅梅&&张玉婷&&徐宏杰&&潘易泽&&杨新鸣,剧情&&爱情&&家庭,中国大陆,2019,6.6,61576
招摇,郑伟文,白鹿&&许凯&&代旭&&肖燕&&米露&&刘宇桥&&杨泽&&李子峰,爱情&&奇幻&&古装,中国大陆,2019,6.2,31561
芈月传,郑晓龙,孙俪&&刘涛&&方中信&&黄轩&&马苏&&高云翔&&祖峰&&巩峥&&姜宏波&&孙茜&&蒋欣&&赵文瑄&&斓曦&&曾虹畅&&徐百慧&&徐梵溪&&郭昊伦&&毛俊杰&&赵立新&&曹卫宇&&曹征&&朱一龙&&张钧涵&&郑业成&&马思纯&&宋佳伦&&李蓓蕾,剧情&&古装,中国大陆,2015,5.8,84422
摩登家庭,贝丝·麦卡锡-米勒,艾德·奥尼尔&&索菲娅·维加拉&&朱丽·鲍温&&泰·布利尔&&杰西·泰勒·弗格森&&艾瑞克·斯通斯崔特&&里克·罗德里格兹&&诺兰·古德&&萨拉·海蓝德&&阿芮尔·温特&&奥布里·安德森-埃蒙斯,喜剧&&家庭,美国,2014,9.5,36485
魔幻手机,余明生,李滨&&陈创&&舒畅&&谢宁&&洪乙心&&陈明昊&&于珈若&&王伟光&&柳小海&&张倩&&焦恩俊&&刘希媛&&丁健&&汪永贵&&大力&&方子春&&徐志贺&&曲高位&&张阳&&田二喜&&王梓宏&&刘安琪&&崔林&&穆中华&&张巍&&潘宜刚&&红鹰&&李嘉明&&李宇峰&&耿超&&母黎莉&&李云彤&&李志新&&齐溪&&陈建龙&&赵丽娜&&张昊&&大亨&&亚历山大·巴甫洛夫,喜剧&&奇幻,中国大陆,2008,8.0,37297
家有儿女2,林丛,宋丹丹&&高亚麟&&张一山&&杨紫&&尤浩然&&文兴宇&&孙桂田&&马书良&&黑妹&&林好&&曹力&&张海燕&&李勤勤&&陈征&&冉倩&&盛冠森&&张艺文&&段丽阳&&宁文彤&&田玲&&任正斌&&薛咏煜&&胡德&&常蓝天&&刘岩&&姜依&&翟真景&&张赛&&周倜&&李晓红&&陆月萌&&刘昱彤&&杜旭东&&刘亚津&&句号&&吉米&&文天,喜剧&&家庭&&儿童,中国大陆,2005,8.8,40089
一把青,曹瑞原,杨谨华&&天心&&连俞涵&&吴慷仁&&杨一展&&蓝钧天&&温贞菱&&钟承翰&&李程彬&&施名帅&&李劭婕&&欧阳姗&&博焱&&蔡力允&&庄心瑜&&班铁翔&&周厚安&&樊光耀&&潘之敏&&饶星星&&高英轩&&杨小黎&&司徒颖霜&&邱逸峰&&周洺甫&&吴芮甄&&黄尚禾&&黄健玮&&邓九云&&丁强&&查尔斯·威廉斯,剧情&&爱情,中国台湾,2015,9.3,36617
纸钞屋,乌苏拉·科尔维罗,乌苏拉·科尔维罗&&帕科·图斯&&佩德罗·阿隆索&&米盖尔·赫尔南&&伊西娅尔·伊图诺&&恩里克·阿尔切,动作&&悬疑&&犯罪,西班牙,2018,8.5,9360
神雕侠侣,于敏,刘亦菲&&黄晓明&&陈紫函&&杨幂&&叮当&&王洛勇&&赵鸿飞&&钱博&&孟广美&&于承惠&&陈继铭&&翟乃社&&孔琳&&钟镇涛&&赵锦焘&&傅淼&&高虎&&杨蕊&&程枫&&李明启&&赵亮&&孙锂华&&梁丽&&黄小蕾&&王九胜&&周浩东&&黑子&&朱泳腾&&袁苑&&张政勇,武侠&&古装,中国大陆,2006,7.3,47406
刁蛮公主,赖水清,苏有朋&&张娜拉&&鲍蕾&&吕行&&陈秀丽&&高露&&林江国&&洪欣,喜剧&&爱情&&古装,中国大陆,2006,6.5,34081
摩登家庭,盖尔·曼库索,艾德·奥尼尔&&索菲娅·维加拉&&朱丽·鲍温&&泰·布利尔&&杰西·泰勒·弗格森&&艾瑞克·斯通斯崔特&&萨拉·海蓝德&&阿芮尔·温特&&诺兰·古德&&里克·罗德里格兹&&奥布里·安德森-埃蒙斯&&杰瑞米·马奎尔&&里德·尤因&&克里斯·吉尔&&马塞罗·莱耶斯,喜剧&&家庭,美国,2018,9.4,23613
她的私生活,洪忠灿,朴敏英&&金材昱&&安普贤&&金宝罗&&郑帝元&&朴真珠&&洪书英&&金美京&&金善映&&孟尚勋&&朴明申&&林智奎&&郑元昌&&李一花,喜剧&&爱情,韩国,2019,7.6,39316
孝庄秘史,尤小刚,宁静&&马景涛&&刘德凯&&邬倩倩&&赵鸿飞&&舒畅&&胡静&&何赛飞&&斯琴高娃&&许还山,剧情&&历史&&古装,中国大陆,2002,8.4,41783
轮到你了,中茎强,片桐仁&&峰村理惠&&大方斐纱子&&德井优&&真飞圣&&片冈礼子&&田中要次&&大友花恋&&中尾畅树,剧情&&悬疑,日本,2019,8.4,48777
少主且慢行,周彤,虞书欣&&刘奕畅&&骆明劼&&陈昊蓝&&刘迅&&曹明悦&&张元坤,爱情&&悬疑&&古装,中国大陆,2020,6.8,7726
那年花开月正圆,丁黑,孙俪&&陈晓&&何润东&&任重&&胡杏儿&&俞灏明&&张晨光&&曾淇&&周励淇&&刘佩琦&&谢君豪&&万美汐&&高圣远&&李解&&张天阳&&李泽锋&&许之糯&&侯长荣&&陈真希&&唐群&&龚慈恩&&谭希和&&田小冰&&奚美娟,剧情&&古装,中国大陆,2017,7.2,88540
和平饭店,李骏,陈数&&雷佳音&&李光洁&&陶慧&&张一龙&&陈冠宁&&阎俊希&&王玥兮&&曹力&&孔维&&张帆&&王奕权&&郭秋成&&马灿灿&&王屿&&王侃,剧情&&悬疑,中国大陆,2018,7.9,83541
校对女孩河野悦子,佐藤东弥,石原里美&&菅田将晖&&本田翼&&和田正人&&江口德子&&田口浩正&&足立梨花&&松川尚瑠辉&&长江英和&&鹿贺丈史&&芳本美代子&&青木崇高&&岸谷五朗&&安藤政信,剧情&&喜剧&&爱情,日本,2016,7.8,78428
黑镜,詹姆斯·哈维斯,安德鲁·斯科特&&麦莉·赛勒斯&&安东尼·麦凯&&叶海亚·阿卜杜勒-迈丁&&托弗·戈瑞斯&&戴姆森·伊德瑞斯&&妮可·贝哈瑞 &&庞·克莱门捷夫&&安格瑞·赖斯&&麦蒂森·达文波特&&林路迪&&格雷格·克列克&&莫尼卡·辛西娅·布朗&&约旦·卡洛斯&&克里斯塔·克拉克&&莫妮卡·杜兰&&朱利安·费罗&&丹尼尔·英格斯&&苏珊·波尔法&&钱睿博&&安布林·拉齐亚&&弗朗西斯·肖托·道格拉斯,剧情&&科幻&&惊悚,美国,2019,6.7,58309
烈火如歌,梁胜权,周渝民&&迪丽热巴&&张彬彬&&刘芮麟&&龚蓓苾&&赖艺&&代斯&&张赫&&肖荣生&&亓航&&万美汐&&邵峰&&龙政璇&&吴佩柔&&何索&&高阳&&樊驿宁&&马德丫&&袁雨萱&&金泊含&&陈烨林&&王仁君&&徐敏&&罗四维&&颜敬杰&&孙晓伦&&李东恒&&葛施敏&&陈凯&&陈玥&&李广旭&&陈继铭&&王岗&&吴佟&&石悦安鑫&&邱波&&方小月&&王璐&&张皓承&&周奇&&张茗灿&&武泽锦熙&&董李无忧&&蒋博伦&&黄溢凯&&赵俊泽&&张铭轩&&纪子轩&&李羿希,爱情&&奇幻&&古装,中国大陆,2018,5.9,61811
旋风少女,成志超,胡冰卿&&杨洋&&白敬亭&&陈翔&&赵圆瑗&&谭松韵&&焦恩俊&&吴磊&&詹子潼,剧情&&爱情,中国大陆,2015,6.6,23499
