英文名,movie_id,电影名称,贴图,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,又名,IMDb链接,片长,年份,评分,评价人数,短评数,影评数,简介,链接
Norm of the North,1292735,北方的纳努克 Nanook of the North,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2506523660.webp,罗伯特·弗拉哈迪,罗伯特·弗拉哈迪,Allakariallak / Nyla,纪录片,美国, 无对白,1922-06-11,,https://www.imdb.com/title/tt0013427,79 分钟,1922,8.5,11530,2899,73,　　本片是享有“纪录片之父”声誉的美国纪录片导演罗伯特•弗拉哈迪的第一部纪录片电影，记录了加拿大魁北克省北极圈内哈德逊湾的伊努朱亚克附近因纽特人首领纳努克一家人从1920年8月到1921年8月期间的日常生活，包括与白人交易、捉鱼、捕猎海象海豹、灶火烹饪，以及建筑冰屋的场景，开创了人类学社会影像记录的起点。弗拉哈迪在本片中的摆拍和场景重现曾引起广泛争议，比如隐瞒纳努克平时用猎枪狩猎的事实，刻意表现因纽特人的传统鱼叉狩猎法；又比如为了拍摄冰屋内纳努克一家清早起身的场景，去掉一半冰屋采光等。　　本片是历史上第一部全长纪录片，于1989年被美国国会图书馆选入“国家电影记录册”。,https://movie.douban.com/subject/1292735/
Norm of the North,26359261,机动战士高达 THE ORIGIN III 破晓的起义 機動戦士ガンダム THE ORIGIN III 暁の蜂起,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2325456546.webp,安彦良和,隅泽克之 / 矢立肇 / 富野由悠季 / 安彦良和,池田秀一 / 潘惠美 / 柿原彻也 / 前野智昭 / 三宅健太 / 浦山迅 / 银河万丈 / 渡边明乃 / 茅野爱衣 / 坂东尚树 / 宗矢树赖 / 山野井仁 / 小松史法 / 星野充昭 / 松田健一郎 / 杉村宪司 / 高阶俊嗣 / 大畑伸太郎 / 阪口周平 / 林大地 / 滨田洋平 / 鸟丸祐一 / 铃木晴久 / 木岛隆一 / 山本祥太 / 村中知 / 森奈奈子 / 森优子 / 津田英三 / 喜山茂雄 / 土屋利秀 / 卷岛康一 / 秋元千贺子 / 落合弘治 / 坂口候一 / 新井里美 / 关俊彦 / 田中真弓 / 古谷彻 / 大塚明夫,科幻 / 动画,日本, 日语,2016-05-21(日本), Mobile Suit Gundam: The Origin III: Dawn of Rebellion / 机动战士高达 THE ORIGIN III 晓之崛起,https://www.imdb.com/title/tt5871184,68分钟,2016,9.2,2697,451,0,　　宇宙世纪0068年，居住在SIDE3的慕佐自治共和国议长发表完《完全独立宣言》后意外身亡，由此引发了连番的动乱，许多人的命运也就此发生根本转变。转眼来到宇宙世纪0074年，爱德华·玛斯（池田秀一配音）以夏亚·阿兹纳布的身份进入吉恩自治共和国国防军官学校学习。在那里，他与来自SIDE3的名门子弟格尔玛（柿原彻也饰）互相赏识，成为模拟好友。　　宇宙世纪0077年，学生们揭竿而起，发起了针对地球联邦军的武装起义。对夏亚来说，他的复仇也由此拉开序幕……,https://movie.douban.com/subject/26359261/
Norm of the North,1308072,紧急44分钟 44 Minutes: The North Hollywood Shoot-Out,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2494887356.webp,YvesSimoneau,Tim Metcalfe,Michael Madsen / Ron Livingston / Ray Baker / Douglas Spain,剧情 / 动作 / 犯罪,美国, 英语,2003-06-05,,https://www.imdb.com/title/tt0362389,103分钟,,7.1,2278,396,8,　　亨利（马里奥·范·皮布尔斯MarioVanPeebles饰）和唐尼（朗·里维斯顿RonLivingston饰）是洛杉矶特警，在巨大的压力之下，他们肩负着的是保卫数百万人安危的重大职责。某日，正在休假的唐尼接到警局的召唤，两名携带着大量武器的劫匪拉里（安德鲁·布莱尼亚斯基AndrewBryniarski饰）和坦吉（KhaliMacintyre饰）抢劫了一间银行，警匪双方之间发生了激烈的火并。　　唐尼火速赶往现场，失控的场面让唐尼知道，这会是一场难打的硬仗。为了拯救受伤的市民，亨利暴露了自己的方位，遭到了敌人的猛烈袭击，之后，弗兰克（迈克尔·马德森MichaelMadsen饰）击毙了拉里，知道自己已经在劫难逃的坦吉展开了绝望的自杀式反击。,https://movie.douban.com/subject/1308072/
Norm of the North,2122972,美版北斗神拳真人版 Fist of the North Star,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2521031283.webp,TonyRandel,武论尊 / 原哲夫,Gary Daniels / Malcolm McDowell / Costas Mandylor,动作 / 科幻 / 惊悚 / 奇幻,美国, 英语,1995-04-22, Hokuto no Ken / 北斗之拳,https://www.imdb.com/title/tt0113074,103 分钟,1995,4.2,244,81,2,,https://movie.douban.com/subject/2122972/
Norm of the North,30310218,标准之外 Hors normes,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2556765966.webp,奥利维埃·纳卡什,奥利维埃·纳卡什 / 埃里克·托莱达诺,文森特·卡索 / 勒达·卡代布 / 海伦·文森特 / 阿尔班·伊万诺夫 / 凯瑟琳·蒙切特 / 弗雷德里克·皮耶罗 / 苏丽安·卜拉欣 / 琳娜·库德里 / 阿罗伊斯·索维奇 / 海迪·布奇纳法 / Bryan Mialoundama / Benjamin Lesieur / Marco Locatelli / Djibril Yoni / Ahmed Abdel Laoui / Darren Muselet / Diong-Kéba Tacu,剧情,法国, 法语,2019-05-25(戛纳电影节) / 2019-10-23(法国), 特殊人生(港) / 在你身边(台) / 标准以外 / 规范之外 / The Specials / The Extraordinary,https://www.imdb.com/title/tt8655470,114分钟,2019,8.4,7734,2863,64,　　二十年来，般奴和马力克生活在一个不同的世界当中，那是一个属于患自闭症的儿童和青少年的世界。他们二人分别管理TheHatch&TheShelter两个非牟利机构，目标在贫困地区培训年青人担任守护工作，负责照顾一些被其他机构拒于门外的重度患者个案。这非传统的合作关系展现了非一般的人生。,https://movie.douban.com/subject/30310218/
Norm of the North,26683421,特工 공작,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2528281606.webp,尹钟彬,尹钟彬,黄政民 / 李星民 / 赵震雄 / 朱智勋,剧情,韩国, 韩语 / 汉语普通话 / 日语,2018-05-11(戛纳电影节) / 2018-08-08(韩国), 北风(台) / 北寒谍战(港) / 工作 / The Spy Gone North / Gongjak,https://www.imdb.com/title/tt8290698,137分钟,2018,8.6,117477,27203,233,　　1990年代中期，暗号「黑金星」的南韩「国家安全企划部」情报员，假扮成南韩商人跟北韩进行商业交易，藉此渗透北韩军事单位，打探核开发情报，他得在最危险的地方，赢得敌方的信任，没想到一心只想完成任务的他，却在不自觉中陷入南北韩权力高层间的恐怖阴谋。,https://movie.douban.com/subject/26683421/
Norm of the North,1297938,73舰队潜艇战 Action in the North Atlantic,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184915479.webp,劳埃德·培根,约翰·霍华德·劳森,亨弗莱·鲍嘉 / 雷蒙德·马西 / 艾伦·海尔 / Julie Bishop / 鲁思·戈登,剧情 / 战争,美国, 英语 / 德语,1943-06-12, 血战大西洋,https://www.imdb.com/title/tt0035608,126 分钟,1943,7.4,119,28,0,　　故事描述一美国军舰在运送物品的途中遭德国潜艇的攻击，舰队全体官兵纷纷奋勇应战，于是展开一场凶斗,https://movie.douban.com/subject/1297938/
When the Bough Breaks,3578943,当树枝折断时 When the Bough Breaks,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2361858542.webp,强·卡萨,杰克·奥尔森,摩里斯·切斯塔特 / 雷吉娜·赫尔 / 罗曼尼·马尔可 / 迈克尔·肯尼斯·威廉姆斯 / 格伦·莫肖尔 / 西奥·罗西 / 洁丝·辛克莱 / 吉吉·埃内塔 / 汤姆·诺维茨基 / 丹妮丝·戈塞特 / 简·米歇尔 / 卡丽·拉扎 / 阿里亚当娜·约瑟夫 / 马特·米切尔 / 莫里斯·约翰逊,剧情 / 悬疑 / 惊悚 / 恐怖,美国, 英语,2016-09-09(美国), 惊魂契约(台) / 新当树枝折断时,https://www.imdb.com/title/tt1389139,107分钟,2016,5.6,594,163,7,　　约翰（摩里斯·切斯塔特MorrisChestnut饰）和劳拉（雷吉娜·赫尔ReginaHall饰）是一对无法生育的夫妻，多年后决定寻找年轻的代理孕妈妈安娜（洁丝·辛克莱JazSinclair饰），他们满心欢喜地迎接她为他们诞下新生宝宝。然而年轻的安娜要的不只如此，她逐渐显露企图，闯入他们的生活，想成为婚姻中致命的第三者。,https://movie.douban.com/subject/3578943/
When the Bough Breaks,1306980,当树枝折断时 When the Bough Breaks,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2305238369.webp,米夏埃尔·科恩,米夏埃尔·科恩,艾利·沃克 / 马丁·辛 / 罗恩·珀勒曼 / 罗伯特·耐伯,剧情 / 惊悚,美国, 英语,1994-05-07, 第七只断手,https://www.imdb.com/title/tt0108555,105 分钟,1994,5.5,142,43,1,　　·美国得克萨斯州休斯敦的一个雨夜，一群在街道上跳舞的年轻人正在狂欢。一对恋人在一声惊雷炸响之后，发现在下水道附近被雨水冲过来一只断手，他们被吓呆了，于是赶紧向警方报了案。警察在出现场时又发现了装在塑料袋里的若干只残手，这些手的手掌上都标有按顺序排列的数字。　　为了侦破此案，州犯罪中心派女侦探奥德莉·麦克利协助休斯敦警局工作。　　休斯敦警局长官带领麦克利来到解剖室，法医文西向她介绍，目前己找到四只右手，三只左手，其中两只可能是一个人的，按数字排列可以从2排到13，受害者的年龄都很小，在5—12岁之间，这些手都是用锋利的刀片切下来的，而手掌上的数字是用特殊墨水刺上去的……　　如果要找到这些受害者真可谓大海捞针。正当麦克利着手调查这起残手案时，州立精神病院的辛格尔医生打来电话说他可以提供一些线索。麦克利来到州立精神病院。辛格尔医生向麦克利介绍这里有个...(展开全部),https://movie.douban.com/subject/1306980/
When the Bough Breaks,5047850,谁是真凶 When the Bough Breaks,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2305240475.webp,瓦里丝·侯赛因,Jonathan Kellerman,特德·丹森 / 理查德·马苏尔 / 雷切尔·蒂科汀 / 大卫·霍德尔斯顿,动作,美国, 英语,1986,,https://www.imdb.com/title/tt0092203,100分钟,1986,,,0,0,,https://movie.douban.com/subject/5047850/
