英文名,movie_id,电影名称,贴图,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,又名,IMDb链接,片长,年份,评分,评价人数,短评数,影评数,简介,链接
Avengers: Endgame,26100958,复仇者联盟4：终局之战 Avengers: Endgame,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2552058346.webp,安东尼·罗素,克里斯托弗·马库斯 / 斯蒂芬·麦克菲利 / 斯坦·李 / 杰克·科比 / 吉姆·斯特林,小罗伯特·唐尼 / 克里斯·埃文斯 / 马克·鲁弗洛 / 克里斯·海姆斯沃斯 / 斯嘉丽·约翰逊 / 杰瑞米·雷纳 / 保罗·路德 / 凯伦·吉兰 / 唐·钱德尔 / 布丽·拉尔森 / 布莱德利·库珀 / 泰莎·汤普森 / 汤姆·赫兰德 / 伊丽莎白·奥尔森 / 本尼迪克特·康伯巴奇 / 蒂尔达·斯文顿 / 格温妮斯·帕特洛 / 蕾妮·罗素 / 约翰·斯拉特里 / 查德维克·博斯曼 / 安东尼·麦凯 / 塞巴斯蒂安·斯坦 / 克里斯·帕拉特 / 汤姆·希德勒斯顿 / 佐伊·索尔达娜 / 丹娜·奎里拉 / 本尼迪克特·王 / 庞·克莱门捷夫 / 戴夫·巴蒂斯塔 / 利蒂希娅·赖特 / 伊万杰琳·莉莉 / 乔恩·费儒 / 海莉·阿特维尔 / 娜塔莉·波特曼 / 玛丽莎·托梅 / 塔伊加·维迪提 / 安吉拉·贝塞特 / 迈克尔·道格拉斯 / 米歇尔·菲佛 / 威廉·赫特 / 寇碧·史莫德斯 / 肖恩·古恩 / 温斯顿·杜克 / 琳达·卡德里尼 / 马克斯米利亚诺·赫尔南德斯 / 弗兰克·格里罗 / 真田广之 / 汤姆-沃恩-劳勒 / 詹姆斯·达西 / 雅各布·巴特朗 / 范·迪塞尔 / 罗伯特·雷德福 / 乔什·布洛林 / 塞缪尔·杰克逊 / 伊薇特·尼科尔·布朗 / 卡梅伦·布鲁姆布罗 / 蒂莫西·卡尔 / 凯瑞·康顿 / 迈克尔·A·库克 / 凯莉·库恩 / 艾玛·福尔曼 / 雷纳·加拉赫 / 丹妮拉·加斯基 / 郑肯 / 小弗洛伊德·安东尼·约翰 / 斯坦·李 / 罗斯·马昆德 / 布伦特·麦吉 / 迈克尔·皮耶里诺·米勒 / 卡兰·马尔韦 / 泰瑞·诺塔里 / 吉米·雷·皮肯斯 / 迈克尔·詹姆斯·肖 / 泰·辛普金斯 / 格雷格·蒂芬,动作 / 科幻 / 奇幻 / 冒险,美国, 英语 / 日语 / 科萨语,2019-04-24(中国大陆) / 2019-04-26(美国), 复仇者联盟3：无尽之战(下) / 复联4 / Avengers: Infinity War - Part II / The Avengers 3: Part 2 / The Avengers 4: Endgame / AVG4,https://www.imdb.com/title/tt4154796,181分钟,2019,8.5,844821,257377,5836,　　一声响指，宇宙间半数生命灰飞烟灭。几近绝望的复仇者们在惊奇队长（布丽·拉尔森BrieLarson饰）的帮助下找到灭霸（乔什·布洛林JoshBrolin饰）归隐之处，却得知六颗无限宝石均被销毁，希望彻底破灭。如是过了五年，迷失在量子领域的蚁人（保罗·路德PaulRudd饰）意外回到现实世界，他的出现为幸存的复仇者们点燃了希望。与美国队长（克里斯·埃文斯ChrisEvans饰）冰释前嫌的托尼（小罗伯特·唐尼RobertDowneyJr.饰）找到了穿越时空的方法，星散各地的超级英雄再度集结，他们分别穿越不同的时代去搜集无限宝石。而在这一过程中，平行宇宙的灭霸察觉了他们的计划。　　注定要载入史册的最终决战，超级英雄们为了心中恪守的信念前仆后继……,https://movie.douban.com/subject/26100958/
The Lion King,26884354,狮子王 The Lion King,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2559742751.webp,乔恩·费儒,杰夫·内桑森 / 布兰达∙查普曼 / 艾琳·梅琪 / 乔纳森·罗伯茨 / 琳达·伍尔芙顿,唐纳德·格洛弗 / 阿尔法·伍达德 / 詹姆斯·厄尔·琼斯 / 切瓦特·埃加福 / 科甘-迈克尔·凯 / 塞斯·罗根 / 比利·艾希纳 / 碧昂丝·诺尔斯 / 埃里克·安德烈 / 弗洛伦丝·卡松巴 / 约翰·卡尼 / 约翰·奥利弗 / 艾米·塞德丽丝,剧情 / 动画 / 冒险,美国, 英语 / 科萨语,2019-07-12(中国大陆) / 2019-07-19(美国), 狮子王真狮版 / 狮子王真实版 / 狮子王真人版,https://www.imdb.com/title/tt6105098,118分钟,2019,7.4,284320,88822,1326,　　广袤无垠的非洲大草原，祥和奋进的荣耀王国迎来了光辉时刻。威严而勇敢的狮子国王木法沙（詹姆斯·厄尔·琼斯JamesEarlJones配音）与王后沙拉碧（阿尔法·伍达德AlfreWoodard配音），终于迎来了他们的儿子——王国未来的王者辛巴（唐纳德·格洛弗DonaldGlover配音）——的诞生。在所有的动物都心悦诚服跪拜辛巴王子之际，只有木法沙的弟弟刀疤（切瓦特·埃加福ChiwetelEjiofor配音）妒火中烧。他久久觊觎哥哥的王位，而今更是将辛巴视为眼中钉肉中刺。经过一番策划，刀疤害死了木法沙，并将罪名推给了侄子，进而将王位攫取到自己手中。　　荣耀王国从此被黑暗笼罩，而遭到流放的辛巴是否还能回到这个他度过快乐童年的国度呢？,https://movie.douban.com/subject/26884354/
The Lion King,1301753,狮子王 The Lion King,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2277799019.webp,罗杰·阿勒斯,艾琳·梅琪 / 乔纳森·罗伯特  / 琳达·伍尔芙顿,乔纳森·泰勒·托马斯 / 马修·布罗德里克 / 杰瑞米·艾恩斯 / 詹姆斯·厄尔·琼斯 / 莫伊拉·凯利 / 内森·连恩 / 尼基塔·卡兰姆 / 厄尼·萨贝拉 / 乌比·戈德堡 / 罗温·艾金森,动画 / 歌舞 / 冒险,美国, 英语 / 斯瓦希里语 / 科萨语 / 祖鲁语,1995-07-15(中国大陆) / 1994-06-15(美国) / 2011-09-16(美国), 狮子王3D,https://www.imdb.com/title/tt0110357,89 分钟,1994,9.0,575043,62213,486,　　辛巴是狮子王国的小王子，他的父亲穆法沙是一个威严的国王。然而叔叔刀疤却对穆法沙的王位觊觎已久。　　要想坐上王位宝座，刀疤必须除去小王子。于是，刀疤利用种种借口让辛巴外出，然后伺机大开杀戒，无奈被穆法沙即时来救。在反复的算计下，穆法沙惨死在刀疤手下，刀疤别有用心的劝辛巴离开，一方面派人将他赶尽杀绝。　　辛巴逃亡中遇到了机智的丁满和善良的彭彭，他们抚养辛巴长成雄壮的大狮子，鼓励他回去森林复国。在接下来一场复国救民的斗争中，辛巴真正长成一个坚强的男子汉，领会了责任的真谛。,https://movie.douban.com/subject/1301753/
The Lion King,1301757,狮子王2：辛巴的荣耀 The Lion King II: Simba's Pride,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1838192559.webp,达雷尔·鲁尼,弗利普·科布勒 / 辛迪·马库斯 / Jonathan Cuba / 马克·麦科克尔 / 比尔·莫兹 / 格雷戈里·波伊莱尔 / 鲍勃·罗斯 / 罗伯特·斯库利 / Linda Voorhees / Jenny Wingfield,马修·布罗德里克 / 莫伊拉·凯利 / 内芙·坎贝尔,喜剧 / 动画 / 冒险,美国, 英语,1998-10-27, 狮子王2,https://www.imdb.com/title/tt0120131,81分钟,1998,7.8,51504,4021,32,　　辛巴（马修·布罗德里克MatthewBroderick配音）的女儿琪拉雅（内芙·坎贝尔NeveCampbell配音）调皮好动，喜欢到处奔跑，受辛巴所托看护她的彭彭和丁满实在无计可施。在另一处，刀疤的余党吉娜意图把儿子高孚训练成刀疤的接班人，并蓄谋一场复仇之战，篡夺荣耀国的统治权。好奇的琪拉雅偷偷去森林外冒险遇到高孚，他们在玩耍时掉进鳄鱼湖。勇敢的琪拉雅救了高孚，两人成为莫逆之交。　　几年后，阴险的吉娜设计让高孚混入辛巴的阵营，获取辛巴的信任，再伺机发动复仇之战。高孚与琪拉雅在相处中爱上彼此，于是高孚决定放弃复仇说出真相。辛巴虽然相信了高孚，但还是有所保留。一天，高孚和辛巴散步时误入了蛮荒之地，吉娜突然出现了，经过一阵激烈的厮打，辛巴在高孚的帮助下逃脱了。但受伤的辛巴对高孚产生误会，将他赶回了蛮荒之地，琪拉雅伤心地离家出走。荣耀之战即将在辛...(展开全部),https://movie.douban.com/subject/1301757/
The Lion King,1401604,狮子王3 The Lion King 1½,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2024090266.webp,布拉德利·雷蒙德,汤姆·罗杰斯 / 罗杰·阿勒斯 / 艾琳·梅琪 / Raymond Singer / 埃文·斯彼里奥托普洛斯,内森·连恩 / 厄尼·萨贝拉 / 马修·布罗德里克 / 杰瑞·斯蒂勒 / 乌比·戈德堡,喜剧 / 动画 / 冒险,澳大利亚, 英语,2004-02-10(美国), 狮子王1½ / 狮子王一又二分之一 / 狮子王：丁满彭彭历险记 / The Lion King 1 1/2,https://www.imdb.com/title/tt0318403,77 分钟,2004,7.9,27802,2933,31,　　该片是狮子王的外传，讲述了狮子王辛巴不为人知的成长历程。当年辛巴的父亲木法沙被奸人迫害而死，小辛巴为了躲过一劫，逃离了动物王国。在逃亡过程中，辛巴遇上了一对搞笑活宝——丁满和彭彭。丁满和彭彭与辛巴成了好朋友，他们在丛林中开始了他们惬意的生活。辛巴在丛林中慢慢长大，最终长成了雄壮的雄狮，并邂逅了自己美丽的公主。由于有了丁满和彭彭这对活宝，使得平凡的生活也笑料百出。,https://movie.douban.com/subject/1401604/
Frozen II,25887288,冰雪奇缘2 Frozen II,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2572847101.webp,克里斯·巴克,珍妮弗·李 / 克里斯·巴克 / 马克·史密斯 / 克里斯汀·安德森·洛佩兹 / 罗伯特·洛佩兹,克里斯汀·贝尔 / 伊迪娜·门泽尔 / 乔什·加德 / 乔纳森·格罗夫 / 杰森·雷特 / 埃文·蕾切尔·伍德 / 斯特林·K·布朗 / 玛莎·普林顿 / 圣蒂诺·方塔纳 / 阿尔弗雷德·莫里纳 / 瑞秋·马休斯,喜剧 / 动画 / 歌舞 / 冒险,美国, 英语,2019-11-22(美国/中国大陆), 魔雪奇缘2(港) / Frozen 2,https://www.imdb.com/title/tt4520988,103分钟,2019,7.2,271149,98174,1580,　　历经严酷考验，阿伦戴尔王国终于回归往日平静。艾莎女王（伊迪娜·门泽尔IdinaMenzel配音）、安娜公主（克里斯汀·贝尔KristenBell配音）以及他们的好友雪宝（乔什·加德JoshGad配音）、克里斯托弗（乔纳森·格罗夫JonathanGroff配音）、驯鹿斯文过着平静安逸的生活。可是最近一段时间，艾莎总会被一段神秘的吟唱所困扰，为了追寻真相，她义无反顾踏上了征途。担心姐姐的安全，安娜和雪宝、克里斯托弗他们紧紧跟随。在那座常年被浓雾所笼罩的森林里，不仅藏着神秘的自然力量，更隐藏着关于阿伦戴尔王国、艾莎的魔法来源以及两位公主父母丧生等一系列的秘密。　　艾莎开启了一段寻找自我的旅程……,https://movie.douban.com/subject/25887288/
Frozen II,25300674,冰封侠：时空行者,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2537133715.webp,叶伟民,文隽,甄子丹 / 黄圣依 / 王宝强 / 任达华 / 喻亢 / 江疏影 / 仓田保昭 / 鲍起静 / 林雪 / 庄思敏 / 胡明 / 吴俊余 / 王文绮,动作 / 奇幻,中国大陆, 汉语普通话 / 粤语,2018-11-02(中国大陆), 冰封侠：时空大战(港) / 时空行者 / 冰封：永恒之门 / 冰封2：永恒之门 / 冰封2：回到未来 / 3D冰封侠2 / The Frozen Hero II / Frozen: Eternity's Gate / Iceman 2 / Iceman: The Time Traveller,https://www.imdb.com/title/tt2993848,87分钟,2018,2.6,9845,3253,122,　　明朝大将军贺英利用时空金球终于重返明朝，与锦衣卫兄弟萨獒获悉了倭寇和朝廷奸党之间足以倾覆皇权的密谋，绵延400年的惊天危机一触即发。贺英也在红颜知己小美的帮助下开始了抗倭锄奸和保护族人的战斗。,https://movie.douban.com/subject/25300674/
Spider-Man: Far from Home,26931786,蜘蛛侠：英雄远征 Spider-Man: Far from Home,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558293106.webp,乔·沃茨,克里斯·麦克纳 / 埃里克·萨默斯 / 史蒂夫·迪特寇 / 斯坦·李,汤姆·赫兰德 / 赞达亚 / 杰克·吉伦哈尔 / 寇碧·史莫德斯 / 塞缪尔·杰克逊 / 乔恩·费儒 / 玛丽莎·托梅 / 雅各布·巴特朗 / 安格瑞·赖斯 / 马丁·斯塔尔 / 瑞米·许 / 纽曼·阿卡 / 托尼·雷沃罗利 / J·B·斯穆夫 / 赫米基·马德拉 / 戴维娜·西塔拉姆 / 约瑟夫·朗 / 露丝·霍洛克斯 / 希滕·珀泰尔 / 杰罗恩·凡·康宁斯伯格 / 列尼斯·德洛桑托斯 / 查利·蕾娅·埃斯奎尔 / 费斯·洛根 / J·K·西蒙斯 / 小罗伯特·唐尼,动作 / 科幻 / 冒险,美国, 英语,2019-06-28(中国大陆) / 2019-07-02(美国), 蜘蛛侠：决战千里(港) / 蜘蛛人：离家日(台) / 蜘蛛侠2 / 蜘蛛侠：归来2 / 蜘蛛侠：英雄归来2 / 蜘蛛侠2：英雄离乡 / 蜘蛛侠2：远离家乡 / 蜘蛛侠：远离故乡 / 新蜘蛛侠2 / 蜘蛛侠2：离家出走(豆友译名),https://www.imdb.com/title/tt6320628,127分钟,2019,7.7,476741,133609,1771,　　在与灭霸史诗般的战争结束后，地球似乎暂时回归和平。皮特（汤姆·赫兰德TomHolland饰）回到了校园生活之中，他和好友相谈甚欢，并且有了心仪的女孩，然而内心最深处依然放不下对钢铁侠的追悼缅怀。去往欧洲游学的路上，皮特试图找机会和个性女孩米歇尔（赞达亚Zendaya饰）表白，谁知接连出现的元素怪兽打乱了他的表白计划。在这一过程中，与神盾局合作的神秘客（杰克·吉伦哈尔JakeGyllenhaal饰）挺身而出，击退怪兽。自感不堪大任的皮特谢绝了尼克·弗瑞（塞缪尔·杰克逊SamuelL.Jackson饰），情愿将钢铁侠继承者的重任交到神秘客手中。　　令他意想不到的是，更可怕的危机接二连三袭来……,https://movie.douban.com/subject/26931786/
Spider-Man: Far from Home,24716045,远离尘嚣 Far From the Madding Crowd,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2235684794.webp,托马斯·温特伯格,托马斯·哈代 / 大卫·尼克尔斯,凯瑞·穆里根 / 马提亚斯·修奈尔 / 麦克·辛 / 汤姆·斯图里奇 / 朱诺·坦普尔 / 希尔顿·麦克雷 / 杰西卡·巴登 / 布莱德利·豪尔 / Tilly Vosburgh / 马克·温格特 / 多里斯·洛夫 / 哈利·皮考克 / 维克多·麦奎尔 / Jody Halse,剧情 / 爱情,英国, 英语,2015-05-01(美国/英国), 疯恋佳人(港) / 远离尘嚣：珍爱相随(台),https://www.imdb.com/title/tt2935476,119分钟,2015,7.0,11491,4055,94,　　在维多利亚时代，美丽女孩芭丝谢芭（凯瑞·穆里根CareyMulligan饰）来到一个远离尘嚣的乡村，继承叔叔的遗产。她的坚毅独立，她的自信气质，使三个男人为她倾倒。他们分别是俊朗敦厚的牧羊人加布尔（马提亚斯·修奈尔MatthiasSchoenaerts饰）、品味成熟的贵族（麦克·辛MichaelSheen饰）以及狂野鲁莽的军官（汤姆·斯图里奇TomSturridge饰）。三人都真挚地爱着芭丝谢芭，而她会做出怎样的选择?　　影片改编自英国作家托马斯·哈代的成名作《远离尘嚣》。,https://movie.douban.com/subject/24716045/
Spider-Man: Far from Home,3303327,小黄历险记 Far from Home: The Adventures of Yellow Dog,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2556723782.webp,PhillipBorsos,菲力浦·博萨斯,Mimi Rogers / Bruce Davison / Jesse Bradford,家庭 / 冒险,美国, 英语,1995-01-13,,https://www.imdb.com/title/tt0113028,81 分钟,1995,7.9,142,45,0,"　　16岁的安格斯遇到了一条流浪的拉布拉多猎犬,没想到安格斯把小狗领回家后，却遭到了家人的强烈反对，但在安格斯的一再坚持下，父亲放弃了准备把小狗送到动物保护所去的想法，决定收养这条可怜的狗狗，并取名为耶露.当安格斯和耶露一起随爸爸去海边旅游时,不幸在海上遇到了飓风,波浪掀翻了他们的船,陷入了束手无策的境地,而安格斯的父亲约翰却得救了,安格斯和耶露却没有,他们漂流到一个不知名的岸边,幸运地是,安格斯以前在父亲身边受过野外生存的技能训练,在耶露的帮助下,他们要自己寻找食物,自己搭建避身处,更重要的是,他们要展开自救行动.",https://movie.douban.com/subject/3303327/
