英文名,movie_id,电影名称,贴图,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,又名,IMDb链接,片长,年份,评分,评价人数,短评数,影评数,简介,链接
Jurassic World: Fallen Kingdom,10440138,侏罗纪世界 Jurassic World,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2246217861.webp,科林·特雷沃罗,里克·杰法 / 阿曼达·斯尔沃 / 德里克·康纳利 / 科林·特雷沃罗 / 迈克尔·克莱顿,克里斯·帕拉特 / 布莱丝·达拉斯·霍华德 / 文森特·多诺费奥 / 泰·辛普金斯 / 尼克·罗宾森 / 奥玛·希 / 黄荣亮 / 伊尔凡·可汗 / 朱迪·格雷尔 / 杰克·约翰逊 / 劳伦·拉普库斯 / 凯蒂·麦克格雷斯 / 布莱恩·泰 / 埃迪·J.费尔南德斯 / 因德尔·库马尔 / 安迪·巴克利 / 吉米·法伦,动作 / 科幻 / 冒险,美国, 英语,2015-06-10(中国大陆) / 2015-06-12(美国), 侏罗纪公园4 / Jurassic Park IV / Jurassic Park 4,https://www.imdb.com/title/tt0369610,124分钟,2015,7.7,331699,71328,732,　　21世纪，曾经诞生过第一只恐龙的努布拉岛，在经历了一系列的惨剧之后迎来新的时代，如今这里经马斯拉尼之手建成了规模宏大的主题公园“侏罗纪世界”，数量繁多的远古生物每天都吸引数以万计的游客前来一饱眼福。为了吸引更多的游客，公司授意创意实验室采用不同动物的基因创造了集力量、速度和智慧于一体的暴虐霸王龙。作为负责人的克莱尔（布莱丝·达拉斯·霍华德BryceDallasHoward饰）原打算请专门负责迅猛龙的欧文·格雷迪（克里斯·普拉特ChrisPratt饰）评估暴虐霸王龙的防护设施，谁知这头可怕的怪物竟然骗过了精密仪器的监视和人类的眼睛，以迅雷不及掩耳的速度逃到了外面，随后对所见的一切生物展开了无差别的血腥屠杀。　　原本快乐祥和的公园乱作一团，克莱尔必须深入危险之地救出两个被困的外甥，而欧文则不可避免地带着他的迅猛龙猎人团队迎战史无前例的的可怕对...(展开全部),https://movie.douban.com/subject/10440138/
Jurassic World: Fallen Kingdom,1293702,侏罗纪公园2：失落的世界 The Lost World: Jurassic Park,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1259571118.webp,史蒂文·斯皮尔伯格,迈克尔·克莱顿 / 大卫·凯普,杰夫·高布伦 / 朱丽安·摩尔 / 皮特·波斯尔思韦特 / 艾利斯·霍华德 / 理查德·阿滕伯勒 / 文斯·沃恩 / 凡妮莎·李·彻斯特 / 彼得·斯特曼 / 哈维·杰森 / 理查德·希夫 / Thomas F. Duffy / 约瑟夫·梅泽罗 / 阿丽亚娜·理查兹 / 小托马斯·罗萨莱斯 / 卡米拉·贝勒,动作 / 科幻 / 惊悚 / 冒险,美国, 英语 / 西班牙语,1997-08-07(中国大陆) / 1997-05-19(洛杉矶首映) / 1997-05-23(美国), 失落的世界：侏罗纪公园 / 迷失世界 / 侏罗纪公园II 迷失世界 / 侏罗纪公园2,https://www.imdb.com/title/tt0119567,129 分钟,1997,7.6,112902,8991,74,　　当年在努布拉岛营建侏罗纪公园时，约翰•哈蒙德（理查德•阿滕伯勒RichardAttenborough饰）曾把附近的索纳岛作为恐龙的制造工场。侏罗纪公园沦陷后，索纳岛上的恐龙在完全隔绝且缺少必要合成元素的情况下生存了4年时间。哈蒙德对此颇感好奇，他重新找到马科姆博士（杰夫•高布伦JeffGoldblum饰），邀请他前往小岛考察。4年前经历让马科姆心有余悸，他断然拒绝哈蒙德的提议，但当得知女友莎拉（朱丽安•摩尔JulianneMoore饰）已前往小岛之时，只得跟随探险队整装出发。　　在索纳岛上，另一组野蛮的探险队已经先期到达，他们抓捕恐龙将其卖到外国。利欲熏心使得这些贪婪之徒全然不顾危险，竟然打起暴龙的主意。索纳岛旋即变成恐怖的屠杀地狱……,https://movie.douban.com/subject/1293702/
Jurassic World: Fallen Kingdom,26873582,侏罗纪世界3：统治 Jurassic World: Dominion,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2569850877.webp,科林·特雷沃罗,艾米丽·卡迈克尔 / 德里克·康纳利 / 迈克尔·克莱顿 / 科林·特雷沃罗,克里斯·帕拉特 / 布莱丝·达拉斯·霍华德 / 山姆·尼尔 / 劳拉·邓恩 / 杰夫·高布伦 / 马莫多·阿西 / 迪辰·拉克曼 / 斯科特·黑兹,动作 / 科幻 / 冒险,美国, 英语,2021-06-11(美国), 侏罗纪世界3 / 侏罗纪公园6 / Jurassic Park 6,https://www.imdb.com/title/tt8041270,,2021,,,,6,　　《侏罗纪世界2》导演胡安·安东尼奥·巴亚纳确认该系列将拍成三部曲。目前第二部剧本正在编写，计划于明年初开拍，后年6月22日北美上映。,https://movie.douban.com/subject/26873582/
Jurassic World: Fallen Kingdom,30297098,真菌如何造就世界 The Kingdom: How Fungi Made Our World,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2530649872.webp,AnnamariaTalas,,,纪录片,加拿大, 英语,2018-04-08(加拿大), 改变地球的真菌,https://www.imdb.com/title/tt8254060,,2018,,,16,0,　　CBC“事物的本质TheNatureofThings”第57季第16集,https://movie.douban.com/subject/30297098/
Incredibles 2,25849049,超人总动员2 Incredibles 2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2522880251.webp,布拉德·伯德,布拉德·伯德,格雷格·T·尼尔森 / 霍利·亨特 / 莎拉·沃威尔 / 赫克·米尔纳 / 伊莱·富西尔 / 凯瑟琳·基纳 / 塞缪尔·杰克逊 / 伊莎贝拉·罗西里尼 / 鲍勃·奥登科克 / 布拉德·伯德 / 索菲亚·布什 / 乔纳森·班克斯 / 约翰·拉岑贝格 / 金伯利·阿代尔·克拉克 / 托亚·特纳,喜剧 / 动作 / 动画 / 冒险,美国, 英语,2018-06-22(中国大陆) / 2018-06-15(美国), 超人特攻队2(台) / 超人特工队2(港) / 超人家族2,https://www.imdb.com/title/tt3606756,118分钟,2018,7.9,211524,48451,547,　　在一次挖地超人制造的大混乱中，超人家庭大力神巴鲍伯（格雷格·T·尼尔森CraigT.Nelson配音）和弹力女超人巴荷莉（霍利·亨特HollyHunter配音）和他们的子女巴小倩（莎拉·沃威尔SarahVowell配音）、巴小飞（赫克·米尔纳HuckMilner配音）使出浑身解数，然而不仅不能抓住狡猾的敌人，而且还因为对城市破坏太大而导致失去了政府的支持。此后不久，电信集团大亨温斯顿·狄弗（鲍勃·奥登科克BobOdenkirk配音）通过酷冰侠鲁休斯（塞缪尔·杰克逊SamuelL.Jackson配音）找到鲍伯一家，希望将该公司的前沿技术应用到超人身上，更好地维护世界和平。可是狄弗只希望雇佣荷莉，偏偏荷莉大展雄风，成为了所有超人族群的偶像，这可令担任奶爸的鲍伯心有不甘。　　而就在此时，神秘对手悄然出现，似乎正试图摧毁荷...(展开全部),https://movie.douban.com/subject/25849049/
Incredibles 2,1866475,无敌浩克 The Incredible Hulk,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2517193090.webp,路易斯·莱特里尔,扎克·佩恩,爱德华·诺顿 / 丽芙·泰勒 / 蒂姆·罗斯 / 威廉·赫特 / 蒂姆·布雷克·尼尔森,动作 / 科幻 / 惊悚,美国, 英语 / 葡萄牙语 / 西班牙语,2008-08-20(中国大陆) / 2008-06-13(美国), 神奇绿巨人 / 绿巨人2 / 不可思议的绿巨人 / 新变形侠医 / Hulk 2,https://www.imdb.com/title/tt0800080,112 分钟,2008,7.0,175855,23171,272,　　在高华大学变异的经历总在重演，关于军方通缉的亦围绕在脑海，科学家BruceBanner（爱德华·诺顿EdwardNorton饰）就在这样的梦魇下在巴西一边控制着体内的伽马辐射带来的异常，一边努力和纽约的蓝先生寻求解决办法。　　在汽水生产厂房的他一日不小心割伤手指，让血滴入了汽水瓶，远销到美国的这瓶汽水暴露了他的行踪。美国军方穷尽能力追捕他，还找来求胜心切的英国霹雳将军EmilBlonsky（蒂姆·罗斯TimRoth饰）。被逼到绝路的Bruce变身为绿巨人，Emil和其他军人都大吃一惊。为了亲手擒住Bruce，Emil建议给自己注入可使基因变异的样本。　　Bruce在美国隐匿时遇到旧女友BettyRoss（丽芙·泰勒LivTyler饰），Betty义无反顾地站在他一边，同时发现，她拥有令他体内绿巨人安稳的力量。　　那边Emil已经被求...(展开全部),https://movie.douban.com/subject/1866475/
Incredibles 2,2174177,双头恶魔 The Incredible 2-Headed Transplant,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2521494468.webp,AnthonyM.Lanza,James Gordon White / John Lawrence,Bruce Dern / Pat Priest / Casey Kasem,科幻 / 恐怖,美国, 英语,1971-07-21,,https://www.imdb.com/title/tt0067245,87 分钟,1971,,,0,0,,https://movie.douban.com/subject/2174177/
Aquaman,3878007,海王 Aquaman,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2541280047.webp,温子仁,大卫·莱斯利·约翰逊-麦戈德里克 / 威尔·比尔 / 乔夫·琼斯 / 温子仁 / 莫尔特·魏辛格 / 保罗·诺里斯,杰森·莫玛 / 艾梅柏·希尔德 / 威廉·达福 / 帕特里克·威尔森 / 妮可·基德曼 / 杜夫·龙格尔 / 叶海亚·阿卜杜勒-迈丁 / 特穆拉·莫里森 / 林路迪 / 迈克尔·比奇 / 兰道尔·朴 / 格拉汉姆·麦克泰维什 / 雷·沃纳尔 / 泰努伊·柯克伍德 / 塔穆尔·柯克伍德 / 丹泽尔·夸克 / 卡恩·古尔杜尔 / 奥蒂斯·丹吉 / 克考亚·克库毛诺 / 朱莉·安德鲁斯 / 约翰·瑞斯-戴维斯 / 杰曼·翰苏 / 索菲亚·福雷斯特 / 娜塔莉·萨福兰 / 杰克·安德鲁 / 汉克·阿莫斯 / 帕特里克·考克斯 / 罗伯特·朗斯特里特 / 德维卡·帕利赫 / 梅布尔·塔莫内 / 文森特·B·拉戈斯 / 加布里埃拉·佩特科娃 / 爱丽丝·兰斯伯里 / 帕特里克·艾奇逊 / 约翰·盖蒂尔 / 塔丽亚·杰德·霍尔特 / 罗斯·克纳汉 / 布拉登·刘易斯 / 萨尔瓦多·梅伦达 / 山姆·莫纳汉 / 温妮·穆赞贝 / 凯·潘塔诺 / 安娜·帕奇 / 乔恩·奎斯蒂德 / 迪伦·斯图默 / 米奇·武尔夫,动作 / 奇幻 / 冒险,美国, 英语 / 毛利语 / 意大利语 / 俄语,2018-12-07(中国大陆) / 2018-12-21(美国), 水行侠(港/台) / 潜水侠 / 水人 / 人鱼哥(豆友译名),https://www.imdb.com/title/tt1477834,143分钟,2018,7.6,732918,222869,2846,　　许多年前，亚特兰蒂斯女王（妮可·基德曼NicoleKidman饰）和人类相知相恋，共同孕育了爱情的结晶——后来被陆地人称为海王的亚瑟·库瑞（杰森·莫玛JasonMomoa饰）。在成长的过程中，亚瑟接受海底导师维科（威廉·达福WillemDafoe饰）的严苛训练，时刻渴望去看望母亲，然而作为混血的私生子这却是奢望。与此同时，亚瑟的同母异父兄弟奥姆（帕特里克·威尔森PatrickWilson饰）成为亚特兰蒂斯的国王，他不满陆地人类对大海的荼毒与污染，遂谋划联合其他海底王国发动对陆地的全面战争。为了阻止他的野心，维科和奥姆的未婚妻湄拉（艾梅柏·希尔德AmberHeard饰）将亚瑟带到海底世界。　　宿命推动着亚瑟，去寻找失落已久的三叉戟，建立一个更加开明的海底王国……,https://movie.douban.com/subject/3878007/
Aquaman,1945143,2006版水行侠 试映集 Aquaman,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2330273532.webp,格雷格·毕曼,艾尔弗雷德·高福 / 迈尔斯·米勒 / 保罗·诺里斯 / 莫尔特·魏辛格,贾斯汀·哈特雷 / 卢·戴蒙德·菲利普斯 / 丹尼斯·奎诺尼斯 / 瑞克·皮特斯 / 文·瑞姆斯 / 阿德琳妮·帕里奇 / 肯尼·约翰逊 / 格雷厄姆·本茨 / 斯泰西·安·萝丝 / 凯文·鲍尔 / 安妮特·奥图 / 迈克尔·罗素 / 柯里·瑟威尔 / Amber McDonald / Daniella Deutscher / Dave Knight,剧情 / 动作 / 爱情 / 科幻 / 惊悚 / 短片 / 奇幻 / 冒险,美国, 英语,2006-07-24(美国), Aquaman / 游侠 / 海王,https://www.imdb.com/title/tt0498318,42分钟,2006,6.8,58,21,0,"　　美国WB电视台几年前推出《Smallville》点用新人TomWelling饰演少年超人被怀疑过于“冒险”，不料如今节目受欢迎，Tom也成为深受少女喜爱、炙手可热的年轻男星；今早WB台宣布将制作推出一部为同名DC漫画角色量身定做的新剧集《Aquaman》(水人)，再次大胆安排了新人WillToale饰演男主角Aquaman，可谓十分自信,不过后来男主角换了JustinHartley.虽然这部剧的播出时间还不明晰,但是主角JustinHartley将会以另一个漫画人物GreenArrow(绿箭)的身份,出现在(<超人前传>)第六季中,扮演一个叫OliverQueen的角色.　　A.C.(Aquaman的名字)拥有和在“Smallville”里一样的超能力,但是这部剧中他的背景更复杂.他在水中游的速度和超人在陆地上跑的速度一样快.他一旦接...(展开全部)",https://movie.douban.com/subject/1945143/
Aquaman,30444942,海王2 Aquaman 2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2546862724.webp,温子仁,大卫·莱斯利·约翰逊-麦戈德里克 / 保罗·诺里斯 / 莫尔特·魏辛格,艾梅柏·希尔德 / 杰森·莫玛 / 帕特里克·威尔森 / 叶海亚·阿卜杜勒-迈丁,动作 / 科幻,美国, 英语,2022-12-16(美国), 水行侠2(港/台) / 潜水侠2 / 水人2,https://www.imdb.com/title/tt9663764,,2022,,,,2,　　据消息人士告诉Deadline，[华纳兄弟]正在展开讨论进程，计划让温子仁来监督《海王2》的前期筹备工作，包括由他来决定选择哪些编剧来完成剧本创作工作，之后会在温子仁看完剧本后让他决定是否愿意回归执导DC作品。,https://movie.douban.com/subject/30444942/
