英文名,movie_id,电影名称,贴图,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,又名,IMDb链接,片长,年份,评分,评价人数,短评数,影评数,简介,链接
Avengers: Infinity War,24773958,复仇者联盟3：无限战争 Avengers: Infinity War,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2517753454.webp,安东尼·罗素,杰克·科比 / 克里斯托弗·马库斯 / 斯蒂芬·麦克菲利 / 吉姆·斯特林,小罗伯特·唐尼 / 克里斯·海姆斯沃斯 / 克里斯·埃文斯 / 马克·鲁弗洛 / 乔什·布洛林 / 佐伊·索尔达娜 / 本尼迪克特·康伯巴奇 / 克里斯·帕拉特 / 汤姆·赫兰德 / 伊丽莎白·奥尔森 / 保罗·贝坦尼 / 斯嘉丽·约翰逊 / 查德维克·博斯曼 / 塞巴斯蒂安·斯坦 / 唐·钱德尔 / 汤姆·希德勒斯顿 / 安东尼·麦凯 / 本尼迪克特·王 / 戴夫·巴蒂斯塔 / 布莱德利·库珀 / 范·迪塞尔 / 凯伦·吉兰 / 利蒂希娅·赖特 / 庞·克莱门捷夫 / 凯莉·库恩 / 汤姆-沃恩-劳勒 / 海登·瓦尔希 / 迈克尔·詹姆斯·肖 / 泰瑞·诺塔里 / 本尼西奥·德尔·托罗 / 彼特·丁拉基 / 罗斯·马昆德 / 丹娜·奎里拉 / 温斯顿·杜克 / 弗洛伦丝·卡松巴 / 塞缪尔·杰克逊 / 雅各布·巴特朗 / 斯坦·李,动作 / 科幻 / 奇幻 / 冒险,美国, 英语,2018-05-11(中国大陆) / 2018-04-23(加州首映) / 2018-04-27(美国), 复仇者联盟3：无限之战(港) / 复仇者联盟：无限之战(台) / 复仇者联盟3：无尽之战 / 复联3 / 妇联3(豆友译名) / 复仇者联盟3：灭霸传(豆友译名) / Avengers: Infinity War - Part I / The Avengers 3: Part 1,https://www.imdb.com/title/tt4154756,149分钟,2018,8.1,661301,171257,3593,　　最先与灭霸军团遭遇的雷神索尔一行遭遇惨烈打击，洛基遇害，空间宝石落入灭霸之手。未几，灭霸的先锋部队杀至地球，一番缠斗后掳走奇异博士。为阻止时间宝石落入敌手，斯塔克和蜘蛛侠闯入了敌人的飞船。与此同时，拥有心灵宝石的幻视也遭到外星侵略者的袭击，为此美国队长、黑寡妇等人将其带到瓦坎达王国，向黑豹求助。幸免于难的索尔与星爵一行相逢，随后他们兵分两路。索尔与火箭、格鲁特踏上再铸雷神之锤的旅程，星爵则与卡魔拉等人试图阻止灭霸的恶行。而知晓灵魂宝石下落的卡魔拉，同样是其义父灭霸追踪的对象。　　攸关整个宇宙命运的史诗战役全面展开，超级英雄们为了平凡而自由的生命奋不顾身……,https://movie.douban.com/subject/24773958/
Avengers: Infinity War,26100958,复仇者联盟4：终局之战 Avengers: Endgame,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2552058346.webp,安东尼·罗素,克里斯托弗·马库斯 / 斯蒂芬·麦克菲利 / 斯坦·李 / 杰克·科比 / 吉姆·斯特林,小罗伯特·唐尼 / 克里斯·埃文斯 / 马克·鲁弗洛 / 克里斯·海姆斯沃斯 / 斯嘉丽·约翰逊 / 杰瑞米·雷纳 / 保罗·路德 / 凯伦·吉兰 / 唐·钱德尔 / 布丽·拉尔森 / 布莱德利·库珀 / 泰莎·汤普森 / 汤姆·赫兰德 / 伊丽莎白·奥尔森 / 本尼迪克特·康伯巴奇 / 蒂尔达·斯文顿 / 格温妮斯·帕特洛 / 蕾妮·罗素 / 约翰·斯拉特里 / 查德维克·博斯曼 / 安东尼·麦凯 / 塞巴斯蒂安·斯坦 / 克里斯·帕拉特 / 汤姆·希德勒斯顿 / 佐伊·索尔达娜 / 丹娜·奎里拉 / 本尼迪克特·王 / 庞·克莱门捷夫 / 戴夫·巴蒂斯塔 / 利蒂希娅·赖特 / 伊万杰琳·莉莉 / 乔恩·费儒 / 海莉·阿特维尔 / 娜塔莉·波特曼 / 玛丽莎·托梅 / 塔伊加·维迪提 / 安吉拉·贝塞特 / 迈克尔·道格拉斯 / 米歇尔·菲佛 / 威廉·赫特 / 寇碧·史莫德斯 / 肖恩·古恩 / 温斯顿·杜克 / 琳达·卡德里尼 / 马克斯米利亚诺·赫尔南德斯 / 弗兰克·格里罗 / 真田广之 / 汤姆-沃恩-劳勒 / 詹姆斯·达西 / 雅各布·巴特朗 / 范·迪塞尔 / 罗伯特·雷德福 / 乔什·布洛林 / 塞缪尔·杰克逊 / 伊薇特·尼科尔·布朗 / 卡梅伦·布鲁姆布罗 / 蒂莫西·卡尔 / 凯瑞·康顿 / 迈克尔·A·库克 / 凯莉·库恩 / 艾玛·福尔曼 / 雷纳·加拉赫 / 丹妮拉·加斯基 / 郑肯 / 小弗洛伊德·安东尼·约翰 / 斯坦·李 / 罗斯·马昆德 / 布伦特·麦吉 / 迈克尔·皮耶里诺·米勒 / 卡兰·马尔韦 / 泰瑞·诺塔里 / 吉米·雷·皮肯斯 / 迈克尔·詹姆斯·肖 / 泰·辛普金斯 / 格雷格·蒂芬,动作 / 科幻 / 奇幻 / 冒险,美国, 英语 / 日语 / 科萨语,2019-04-24(中国大陆) / 2019-04-26(美国), 复仇者联盟3：无尽之战(下) / 复联4 / Avengers: Infinity War - Part II / The Avengers 3: Part 2 / The Avengers 4: Endgame / AVG4,https://www.imdb.com/title/tt4154796,181分钟,2019,8.5,844958,257401,5836,　　一声响指，宇宙间半数生命灰飞烟灭。几近绝望的复仇者们在惊奇队长（布丽·拉尔森BrieLarson饰）的帮助下找到灭霸（乔什·布洛林JoshBrolin饰）归隐之处，却得知六颗无限宝石均被销毁，希望彻底破灭。如是过了五年，迷失在量子领域的蚁人（保罗·路德PaulRudd饰）意外回到现实世界，他的出现为幸存的复仇者们点燃了希望。与美国队长（克里斯·埃文斯ChrisEvans饰）冰释前嫌的托尼（小罗伯特·唐尼RobertDowneyJr.饰）找到了穿越时空的方法，星散各地的超级英雄再度集结，他们分别穿越不同的时代去搜集无限宝石。而在这一过程中，平行宇宙的灭霸察觉了他们的计划。　　注定要载入史册的最终决战，超级英雄们为了心中恪守的信念前仆后继……,https://movie.douban.com/subject/26100958/
Avengers: Infinity War,30203451,复仇者格林：战事再起 Avengers Grimm: Time Wars,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2520121311.webp,MaximilianElfeldt,Jeremy M Inman,Marah Fairclough / Christina Licciardi / Lauren Parkinson,动作 / 奇幻 / 冒险,美国, 英语,2018-05-01(美国), 复仇者同盟：时限之战(台),https://www.imdb.com/title/tt8159584,88分钟,2018,3.4,122,52,0,"　　WhenRumpelstiltskintriestotakeoverEarthonceandforall,TheAvengersGrimmmusttrackhimdownthroughtimeinordertodefeathim.",https://movie.douban.com/subject/30203451/
Avengers: Infinity War,27193046,正义复仇者 Avengers of Justice: Farce Wars,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2529971765.webp,JarretTarnol,Richard Dane Scott,艾米·斯马特 / 西蒙·雷克斯 / Tony Cavalero / 史蒂芬·兰纳兹,喜剧 / 动作 / 家庭,美国, 英语,2018-08-07(美国),,https://www.imdb.com/title/tt6172666,87分钟,2017,,,14,0,　　本片恶搞DC及漫威众多超级英雄，讲述了超蝙从正义复仇者退休后，却又必须肩负重任，阻止小丑男毁灭世界....,https://movie.douban.com/subject/27193046/
Black Panther,6390825,黑豹 Black Panther,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2512123434.webp,瑞恩·库格勒,瑞恩·库格勒 / 乔·罗伯特·科尔 / 斯坦·李 / 杰克·科比,查德维克·博斯曼 / 露皮塔·尼永奥 / 迈克尔·B·乔丹 / 丹娜·奎里拉 / 马丁·弗瑞曼 / 丹尼尔·卡卢亚 / 利蒂希娅·赖特 / 温斯顿·杜克 / 斯特林·K·布朗 / 安吉拉·贝塞特 / 福里斯特·惠特克 / 安迪·瑟金斯 / 弗洛伦丝·卡松巴 / 约翰·卡尼 / 大卫·S·李 / 娜比娅·毕,动作 / 科幻 / 冒险,美国, 斯瓦希里语 / 英语 / 科萨语 / 韩语,2018-03-09(中国大陆) / 2018-02-16(美国),,https://www.imdb.com/title/tt1825683,134分钟,2018,6.5,371103,93727,1648,　　位于非洲的神秘国家瓦坎达，凭借来自宇宙的振金而成为科技极度发达的国家，不过他们长久封闭，始终对外界保守这个秘密。在前国王死于联合国爆炸袭击后，特查拉王子（查德维克·博斯曼ChadwickBoseman饰）继任成为新的国王，同时他也是黑豹的继承者。登基之后，特查拉与前女友娜吉雅（露皮塔·尼永奥LupitaNyong'o饰）、贴身侍卫奥姆烨（丹娜·奎里拉DanaiGurira饰）追查曾经盗取振金并杀害瓦坎达人的尤利西斯·克劳（安迪·瑟金斯AndySerkis饰）。一番厮杀后，克劳侥幸逃脱，谁知最终死于合伙人艾瑞克·克尔芒戈（迈克尔·B·乔丹MichaelB.Jordan饰）之手。艾瑞克同样具有瓦坎达血统，而且当年他的父亲死在了自己的兄弟——特查拉父亲的手中。　　怀着莫大的仇恨，艾瑞克踏足瓦坎达，去争夺至高无上的王位……,https://movie.douban.com/subject/6390825/
Black Panther,30167997,黑豹2 Black Panther 2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2565508303.webp,瑞恩·库格勒,瑞恩·库格勒 / 斯坦·李,查德维克·博斯曼,动作 / 奇幻 / 冒险,美国, 英语,2022-05-06(美国),,https://www.imdb.com/title/tt9114286,,2022,,,,1,　　复仇者联盟3》新海报出现了23个漫威超级英雄同框的景象，小蜘蛛、钢铁侠与锤哥地位居中。曝光的还有美队与黑寡妇的片场照。漫威将推进《黑豹》续集，同时未来会看到更多黑豹妹妹苏睿公主。　　漫威影业CEO凯文·费奇最新的采访中，他向粉丝保证《黑豹》一定会推出续集，同时还透露未来大家会在漫威电影宇宙里看到更多黑豹妹妹、瓦坎达科技天才苏睿的身影。,https://movie.douban.com/subject/30167997/
Black Panther,30227134,乐高漫威超级英雄 黑豹：瓦坎达危机 LEGO Marvel Super Heroes: Black Panther - Trouble in Wakanda,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2522655410.webp,MichaelD.Black,马克·霍夫迈尔 / 斯坦·李,James Mathis III / 科斯顿·约翰 / 伊薇特·尼科尔·布朗 / Daisy Lightfoot / 小伊萨克·C.辛格尔顿 / 特雷弗·德瓦 / 连姆·奥布赖恩 / 米克·温格特 / 弗雷德·塔特西奥 / 劳拉·贝莉 / 罗杰·克莱格·史密斯 / 特拉维斯·威林厄姆,剧情 / 动画 / 儿童,美国, 英语,2018-06-03(美国),,https://www.imdb.com/title/tt8205250,22分钟,2018,,,10,0,"　　UlyssesKlaueandEricKillmongerarebacktolootWakanda'sVibrainiummines,thistimewiththehelpofthemadtitanThanos.CanBlackPantherthwarttheirevilplot,evenwiththeaidofEarth'sMightiestHeroes?",https://movie.douban.com/subject/30227134/
Black Panther,5053176,The Black Panther,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2560783448.webp,IanMerrick,Michael Armstrong,大卫·斯威夫特 / Andrew Burt / Ruth Dunning / 唐纳德·桑普特 / Debbie Farrington,惊悚 / 犯罪,英国, 英语,1977,,https://www.imdb.com/title/tt0075764,102分钟,1977,,,4,0,,https://movie.douban.com/subject/5053176/
Black Panther,26879299,死侍与黑豹：回到红与黑 DeadPool Black Panther Back in Red & Black,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2382985871.webp,布拉德·加内特,,,,美国, 英语,2014,,https://www.imdb.com/title/tt4063610,,2014,,,1,0,"　　DeadPoolBlackPantherBackinRed&Black(2014)　　33min|Short,Action,Sci-Fi|15December2014(USA)　　DeadPoolBlackPantherBackinRed&BlackPoster　　TwoclassicMarvelHeroesDeadPoolandBlackPantherteamuptocausealittletroubleinthisfanmadefilm.　　Director:GarrettH.Dumas　　Writer:GarrettH.Dumas　　Stars:GarrettH.Dumas,CarnellHolley,JohnRoss|Seefullc...(展开全部)",https://movie.douban.com/subject/26879299/
Jurassic World: Fallen Kingdom,26416062,侏罗纪世界2 Jurassic World: Fallen Kingdom,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2522069454.webp,J·A·巴亚纳,科林·特雷沃罗 / 德里克·康纳利 / 迈克尔·克莱顿,克里斯·帕拉特 / 布莱丝·达拉斯·霍华德 / 贾斯蒂斯·史密斯 / 伊莎贝拉·瑟蒙 / 拉菲·斯波 / 托比·琼斯 / 泰德·拉文 / 詹姆斯·克伦威尔 / 黄荣亮 / 丹妮艾拉·皮内达 / 杰拉丁·卓别林 / 杰夫·高布伦 / 卡米尔·雷米泽斯基 / 丹尼尔·斯蒂森 / 皮特·杰森 / 迈克尔·帕帕约翰 / 罗伯特·埃姆斯 / 罗南·萨莫尔斯 / 麦克斯·贝克 / 丹尼尔·厄根 / 戴维·奥拉瓦莱·阿印德,动作 / 科幻 / 冒险,美国, 英语 / 俄语,2018-06-15(中国大陆) / 2018-06-22(美国), 侏罗纪世界：迷失国度(港) / 侏罗纪世界：殒落国度(台) / 侏罗纪世界2：失落王国 / 侏罗纪世界2：堕落王国 / 侏罗纪公园5 / Jurassic Park 5 / Jurassic World 2,https://www.imdb.com/title/tt4881806,128分钟,2018,6.7,312617,82966,1250,　　自侏罗纪世界的骚乱以来，种类繁多的恐龙在努布拉岛度过了三年无拘无束的时光。然而该岛火山活动频繁，随时有喷发的危险。致力于恐龙保护的克莱尔·戴宁（布莱丝·达拉斯·霍华德BryceDallasHoward饰）受到班杰明•洛克伍德的邀请。班杰明及其下属伊莱·米尔斯（拉菲·斯波RafeSpall饰）希望她和相关技术人员前往努布拉岛拯救那里的恐龙，并将它们安置在新的栖息地。受到感染的克莱尔设法找来欧文（克里斯·帕拉特ChrisPratt饰）一同前往，欧文则希望救出他亲手驯养的迅猛龙小蓝。当他们踏足这座隔绝之岛时，却发现事情没那么简单。　　火山蠢蠢欲动，随时爆发，而混乱之中丑恶的阴谋悄然酝酿……,https://movie.douban.com/subject/26416062/
