英文名,movie_id,电影名称,贴图,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,又名,IMDb链接,片长,年份,评分,评价人数,短评数,影评数,简介,链接
Beauty and the Beast,25900945,美女与野兽 Beauty and the Beast,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2417948644.webp,比尔·康顿,斯蒂芬·卓博斯基 / 埃文·斯彼里奥托普洛斯 / 琳达·伍尔芙顿 / 珍妮-玛丽·勒普兰斯·德博蒙,艾玛·沃森 / 丹·史蒂文斯 / 卢克·伊万斯 / 凯文·克莱恩 / 乔什·加德 / 伊万·麦克格雷格 / 伊恩·麦克莱恩 / 艾玛·汤普森 / 斯坦利·图齐 / 古古·姆巴塔-劳 / 奥德拉·麦克唐纳 / 内森·麦克 / 哈蒂·莫拉汉 / 迈克尔·吉普森 / 水野索诺娅 / 亨利·加勒特 / 戴尔·布兰斯顿,爱情 / 歌舞 / 奇幻,美国, 英语,2017-03-17(中国大陆/美国),,https://www.imdb.com/title/tt2771200,129分钟,2017,7.2,309548,86322,1814,　　贝儿（艾玛·沃森EmmaWatson饰）和小镇上的其他女孩不同，是一个热爱阅读和幻想的姑娘，孔武有力英俊强壮的加斯顿（卢克·伊万斯LukeEvans饰）发誓要娶贝儿为妻，但贝儿却一眼看穿了他的自私和虚伪，拒不从命。某日，贝儿的父亲莫里斯（凯文·克莱恩KevinKline饰）迷路误打误撞之下来到了一座荒凉破败的城堡中，那里居住着样貌可怖半人半兽的野兽（丹·史蒂文斯DanStevens饰）。　　因为偷摘了城堡里种植的玫瑰，莫里斯被野兽囚禁了起来，得知此消息的贝儿赶到城堡，要求和父亲作交换。就这样，贝儿开始了和野兽的同居生活。在会说话的茶壶太太（艾玛·汤普森EmmaThompson饰）、烛台卢米亚（伊万·麦克格雷格EwanMcGregor饰）和时钟葛士华（伊恩·麦克莱恩IanMcKellen饰）的照顾和帮助下，贝儿渐...(展开全部),https://movie.douban.com/subject/25900945/
Beauty and the Beast,1297995,美女与野兽 Beauty and the Beast,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2238467474.webp,加里·特洛斯达勒,琳达·伍尔芙顿 / 罗杰·阿勒斯 / 布兰达∙查普曼 / 伯尼·马丁森 / 布瑞恩·皮门托尔 / 乔·兰福特 / 凯利·阿斯博瑞 / 克里斯·桑德斯 / 凯文·哈基 / 布鲁斯·伍德赛德 / 汤姆·埃勒里 / 罗伯特·伦塞,佩吉·奥哈拉 / 罗比·本森 / 理查德·怀特 / 杰里·奥尔巴赫 / 戴维·奥格登·施蒂尔斯 / 安吉拉·兰斯伯瑞 / 布莱德利·皮尔斯 / 雷克斯·埃弗哈特 / 杰西·科尔蒂 / 哈尔·史密斯 / 乔·安妮·沃利 / 玛丽·凯·伯格曼 / 布瑞恩·卡明斯 / 阿尔文·爱泼斯坦 / 托尼·杰 / 亚历克·墨菲 / 金米·罗伯特森 / 凯斯·索西 / 弗兰克·维尔克,喜剧 / 爱情 / 动画 / 歌舞 / 奇幻,美国, 英语 / 法语,1991-09-29(纽约电影节) / 1991-11-22(美国) / 2012-01-13(美国), 美女与野兽3D,https://www.imdb.com/title/tt0101414,84分钟,1991,8.5,137454,13181,136,　　贝儿美丽善良，与老父亲一起住在一个宁静的小村庄里。一次，父亲不小心闯进了野兽的领地，被囚禁在野兽的城堡里。为了救出亲爱的父亲，贝儿只身犯险，答应与野兽同居于古堡而换回了父亲。野兽的城堡华丽而充满奇幻色彩，有充满绅士风度的烛台先生，和蔼亲切的茶壶妈妈，还有可爱的小茶壶宝宝。然而，贝儿生活的并不愉快，一心想念着她的父亲。　　终于，贝儿找到了逃走的机会。可是却遇到了凶狠的狼群。危难关头，野兽及时出现，解救了贝儿，自己却受了伤。贝儿心存感动，细心照顾野兽。相处的过程中，二人互相了解，野兽也被感化，慢慢变得温和，学会去爱。朝夕相处，日生情愫。也许，野兽也可以是英勇的守护骑士，温雅的白马王子。,https://movie.douban.com/subject/1297995/
Beauty and the Beast,4138533,美女与野兽 Beauty and the Beast,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1297923352.webp,DavidLister,Roger Allers,Estella Warren / Victor Parascos,奇幻,澳大利亚, 英语,2010-02-11, 美女和野兽,https://www.imdb.com/title/tt1410295,,2009,4.0,147,48,0,"　　AdarktwistonthemoralitytaleofforbiddenlovebetweenbeautifulBelleandthefearedforestBeast.AsvillagersarebeingbrutallymurderedandtheBeastishunteddownastheoneresponsibleforthemayhem,BelleandBeastteamuptodefeattherealkillerthepower-hungrywitch'smalevolenttroll.WrittenbyAmericanWorldPictures",https://movie.douban.com/subject/4138533/
Despicable Me 3,25812712,神偷奶爸3 Despicable Me 3,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2469070974.webp,凯尔·巴尔达,辛科·保罗 / 肯·道里欧,史蒂夫·卡瑞尔 / 克里斯汀·韦格 / 崔·帕克 / 米兰达·卡斯格拉夫 / 达纳·盖尔 / 内芙·沙雷尔 / 皮埃尔·柯芬 / 史蒂夫·库根 / 朱莉·安德鲁斯 / 珍妮·斯蕾特 / 迈克尔·贝亚蒂 / 安迪·尼曼 / 阿德里安·奇斯卡托 / 布莱恩·T·德莱尼 / 肯·道里欧,喜剧 / 动画 / 冒险,美国, 英语,2017-07-07(中国大陆) / 2017-06-14(安锡动画电影节) / 2017-06-30(美国), 卑鄙的我3 / 坏蛋奖门人3(港) / 神偷奶爸3之小小兵,https://www.imdb.com/title/tt3469046,90分钟,2017,6.8,202590,48907,417,　　洗心革面之后，格鲁（史蒂夫·卡瑞尔SteveCarell配音）作为特工成绩斐然，却因未能打败坏小子巴萨扎·布莱德（崔·帕克TreyParker配音）而被新局长扫地出门。就在此时，他收到一封远方来信，这才得知自己原来还有一个双胞胎兄弟德鲁（史蒂夫·卡瑞尔SteveCarell配音）。在德鲁盛情邀请下，格鲁带着妻子露西•王尔德（克里斯汀·韦格KristenWiig配音）以及玛戈（米兰达·卡斯格拉夫MirandaCosgrove配音）、伊迪丝（达娜·盖伊DanaGaier配音）和阿格蕾丝（埃尔希·费舍ElsieFisher配音）来到了他亲生父亲所居住的地方探亲。德鲁天真烂漫，却一心想和哥哥搭档成为坏蛋二人组。格鲁虽然暂时回归狂野，可正义之心并未泯灭。　　尤其当巴萨扎邪恶的计划和三个可爱的孩子牵扯到一起时，他再也无法坐视...(展开全部),https://movie.douban.com/subject/25812712/
Despicable Me 3,3287562,神偷奶爸 Despicable Me,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.webp,皮埃尔·柯芬,肯·道里欧 / 塞尔希奥·巴勃罗斯 / 辛科·保罗,史蒂夫·卡瑞尔 / 杰森·席格尔 / 拉塞尔·布兰德 / 朱莉·安德鲁斯 / 威尔·阿奈特 / 克里斯汀·韦格 / 米兰达·卡斯格拉夫 / 达纳·盖尔 / 艾尔西·费舍尔 / 皮埃尔·柯芬 / 克里斯·雷纳德 / 杰梅奈·克莱门特 / 杰克·麦克布瑞尔 / 丹尼·麦克布莱德 / 敏迪·卡灵 / 罗布·许贝尔 / 肯·道里欧 / 郑肯,喜剧 / 动画 / 冒险,美国, 英语,2010-06-20(莫斯科电影节) / 2010-07-09(美国), 卑鄙的我 / 坏蛋奖门人(港) / 偷天换“月”(港) / 我很贱 / Baby的我,https://www.imdb.com/title/tt1323594,95分钟,2010,8.6,704474,94911,581,　　超级坏蛋格鲁（史蒂夫·卡瑞尔SteveCarell配音）在听说埃及金字塔被盗的新闻后不满市面上新贼辈出，决定在纳法利欧博士（拉塞尔·布兰德RussellBrand配音）的帮助下建造火箭升空盗取月亮。在向坏蛋银行贷款的过程中，格鲁盗取的收缩射线枪被新贼维克托（杰森·席格尔JasonSegel配音）抢走。为了夺回收缩射线枪，格鲁决定领养三位孤儿——玛戈（米兰达·卡斯格拉夫MirandaCosgrove配音）、伊迪丝（达娜·盖伊DanaGaier配音）和阿格蕾丝（埃尔希·费舍ElsieFisher配音），利用她们进入维克托的城堡兜售饼干的机会实施偷盗，计划成功后再偷偷处理掉三个小孩。然而在平凡的日常相处中，格鲁却发现自己越来越离不开这三个小鬼，但这样的感情用事却将严重影响周密的盗月计划……,https://movie.douban.com/subject/3287562/
Despicable Me 3,4915857,神偷奶爸2 Despicable Me 2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2164225595.webp,皮埃尔·柯芬,辛科·保罗 / 肯·道里欧,史蒂夫·卡瑞尔 / 克里斯汀·韦格 / 本杰明·布拉特 / 米兰达·卡斯格拉夫 / 拉塞尔·布兰德 / 郑肯 / 史蒂夫·库根 / 艾尔西·费舍尔 / 达纳·盖尔 / 莫伊塞斯·阿里亚斯 / 纳西姆·帕杜雷德 / 克里斯汀·沙尔 / 皮埃尔·柯芬 / 克里斯·雷纳德 / 尼科莱·斯托伊洛夫 / 瓦妮莎·贝尔 / 艾娃·阿卡雷斯 / 罗里·艾伦 / 杰克·安杰尔 / 伊娃·贝拉 / 约翰·齐甘 / 黛比·德里贝里 / 杰斯·哈梅尔 / 丹尼·曼恩 / 莫娜·马歇尔 / 米凯·麦高万 / Alec Medlock / 拉瑞恩·纽曼 / 扬·拉布森 / 安德烈·鲁滨孙 / 吉姆·瓦德 / 艾普尔·温切尔 / Bailey Gambertoglio / 雪莉·琳恩,喜剧 / 动画 / 冒险,美国, 英语 / 乌克兰语,2014-01-10(中国大陆) / 2013-07-03(美国), 卑鄙的我2 / 坏蛋奖门人2(港),https://www.imdb.com/title/tt1690953,99分钟(中国大陆),2013,8.0,349815,58064,226,　　自从与玛戈（米兰达·卡斯格拉夫MirandaCosgrove配音）、伊迪丝（达娜·盖伊DanaGaier配音）和阿格蕾丝（埃尔希·费舍ElsieFisher配音）三个可爱的小女孩实现宿命的邂逅，曾经的大坏蛋格鲁（史蒂夫·卡瑞尔SteveCarell配音）可真彻底转型了，他金盆洗手，转而化身为慈祥可亲的爸爸和做得一手烂口味布丁果冻的商人。当然凡事没有尽善尽美的，在此期间，憧憬大坏蛋传奇人生的老搭档纳法利欧博士（拉塞尔·布兰德RussellBrand配音）离他而去，另谋高就。某天，格鲁被身怀绝技却鲁莽的特工露西·王尔德（克里斯汀·韦格KristenWiig配音）绑架，原来露西所在的集团研制出可以改变生物基因的药物，可他们位于南极的实验室被神秘窃贼偷走，因此才委托有过坏蛋经验的格鲁做卧底。　　经过一番考虑，格鲁接受了这项任...(展开全部),https://movie.douban.com/subject/4915857/
Despicable Me 3,30170847,神偷奶爸4 Despicable Me 4,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2542686306.webp,凯尔·巴尔达,,,动作 / 动画 / 冒险,美国, 英语,, 卑鄙的我4,https://www.imdb.com/title/tt7510222,,2024,,,,0,　　Plotunknown.Fourthinstallmentofthe'DespicableMe'franchise.,https://movie.douban.com/subject/30170847/
Despicable Me 3,24861615,卑鄙的我：慌乱的小黄人 3D Despicable Me: Minion Mayhem 3D,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2558630472.webp,皮埃尔·柯芬,布莱恩·林奇,史蒂夫·卡瑞尔 / 米兰达·卡斯格拉夫 / 达纳·盖尔 / 艾尔西·费舍尔 / 皮埃尔·柯芬,动画 / 短片 / 冒险,美国, 英语,2012-07-02,,https://www.imdb.com/title/tt2755518,14分钟,2012,8.3,1673,203,1,"　　Gru,oneoftheworld'sgreatestvillainsandfathers,hasinventedanewweapon,theMinionGun,amachinecapableofturningordinaryhumansintoMinions.Hehaslethisthreedaughters(Margo,EdithandAgnes)inchargeoftrainingsomeguests.However,becauseofadistractioninthemiddleofthetraining,theMinion-transformedriders,alongwithGruandhisdaughtersar...(展开全部)",https://movie.douban.com/subject/24861615/
Despicable Me 3,30140027,聚会的目的3 동창회의 목적 3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513256861.webp,정대만,이민욱 / 박지유 / 金柳妍 Yoo-yeon Kim / Jo In‑woo / Kim Neul‑me / song chang-hyeon,이민욱 / 박지유 / 金柳妍 Yoo-yeon Kim / Jo In‑woo / Kim Neul‑me / song chang-hyeon,情色,韩国, 韩语,2018-02-14(韩国), Purpose.of.reunion.3,,80分钟,2018,5.2,390,75,2,"　　오랜만에나간동창회에서첫사랑진희와재회한성현은분위기를타고그녀와뜨거운밤을보내려고하지만너무서두른나머지실패하고만다.아쉬워하며택시에오른성현은어느순간,자신이동창회날아침으로돌아가있다는것을깨닫는다.성현은원나잇이실패하는만큼반복되는하루속에서진희를꼬시기위해모든방법을총동원하기로마음먹는다.",https://movie.douban.com/subject/30140027/
Despicable Me 3,27077479,招魂3 The Conjuring: The Devil Made Me Do It,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2576978014.webp,迈克尔·查维斯,大卫·莱斯利·约翰逊-麦戈德里克 / 温子仁,维拉·法米加 / 帕特里克·威尔森 / 斯特林·杰里斯 / 夏洛林·阿莫亚 / 卢瑞·奥康纳 / 米切尔·霍格 / 朱利安·希威德 / 山农·库克 / 林赛·艾利夫 / 罗尼·吉恩·贝尔维斯 / 里贾纳·陈婷 / 罗伯特·沃克·布兰乔德 / 以利亚·埃弗雷特 / 艾希礼·勒孔特·坎贝尔 / 克里斯·格林 / 基思·阿瑟·鲍顿 / Sarah Catherine Hook / 欧根妮·邦杜兰特 / Megan Ashley Brown / Stacy Johnson / 保罗·伯顿·威尔逊,悬疑 / 惊悚 / 恐怖,美国, 英语 / 葡萄牙语,2020-09-11(美国), 招魂：鬼使神差 / 诡屋惊凶实录3(港) / 厉阴宅3(台) / The Conjuring 3,https://www.imdb.com/title/tt7069210,,2020,,,,2,　　恐怖片迷肯定会为这个消息激动——《招魂3》正式启动！《招魂2》的编剧大卫·约翰逊已经在为新线影业撰写这个恐怖系列的续集剧本，将继续以艾德和劳瑞的真实驱魔事件改编。前两部影片的导演兼编剧温子仁有望以制片人身份回归《招魂3》，亲自执导的可能比较小。,https://movie.douban.com/subject/27077479/
